"Cretolamna appendiculata","species","83.6","66","9577"
"Cretolamna biauriculata","species","83.6","66","9577"
"Squalicorax pristodontus","species","83.6","66","9577"
"Pseudocorax affinis","species","83.6","66","9577"
"Cretolamna biauriculata","species","83.6","66","9577"
"Cretolamna appendiculata","species","89.3","66","9686"
"Squalicorax pristodontus","species","89.3","66","9686"
"Myledaphus bipartitus","species","83.5","70.6","9765"
"Squatirhina americana","species","83.5","70.6","9765"
"Myledaphus bipartitus","species","83.5","70.6","9765"
"Myledaphus bipartitus","species","83.5","70.6","9765"
"Carcharocles megalodon","species","20.44","15.97","9820"
"Rhinoptera studeri","species","20.44","15.97","9820"
"Aetobatus arcuatus","species","20.44","15.97","9820"
"Odontaspis cuspidata","species","20.44","15.97","9820"
"Pristis aquitanicus","species","20.44","15.97","9820"
"Carcharocles megalodon","species","20.44","15.97","9820"
"Carcharhinus egertoni","species","20.44","15.97","9820"
"Squalicorax falcatus","species","83.6","72.1","9799"
"Squalicorax falcatus","species","83.6","72.1","9799"
"Onchopristis dunklei","species","83.6","66","9949"
"Onchopristis dunklei","species","85.8","66","9949"
"Pseudocorax affinis","species","86.3","83.6","10375"
"Cretolamna appendiculata","species","83.6","72.1","10375"
"Lamna serra","species","83.6","72.1","10375"
"Squalicorax pristodontus","species","83.6","72.1","10375"
"Cretolamna appendiculata","species","83.6","72.1","10375"
"Cretolamna appendiculata","species","83.6","72.1","10375"
"Hemipristis serra","species","23.03","5.333","10445"
"Carcharocles megalodon","species","11.608","5.333","11553"
"Heterodontus woodwardi","species","47.8","41.3","10858"
"Squatina prima","species","47.8","41.3","10858"
"Squalus minor","species","47.8","41.3","10858"
"Hemiscyllium bruxelliensis","species","47.8","41.3","10858"
"Scyliorhinus pattersoni","species","47.8","41.3","10858"
"Striatolamia macrota","species","47.8","41.3","10858"
"Isurus praecursor","species","47.8","41.3","10858"
"Galeorhinus recticonus","species","47.8","41.3","10858"
"Physodon secundus","species","47.8","41.3","10858"
"Pristis lathami","species","47.8","41.3","10858"
"Trygon jaekeli","species","47.8","41.3","10858"
"Myliobatis dixoni","species","47.8","41.3","10858"
"Myliobatis striatus","species","47.8","41.3","10858"
"Aetobatis irregularis","species","47.8","41.3","10858"
"Burnhamia daviesi","species","47.8","41.3","10858"
"Heterodontus woodwardi","species","47.8","41.3","11062"
"Heterodontus woodwardi","species","47.8","41.3","11062"
"Heterodontus woodwardi","species","47.8","41.3","11062"
"Heterodontus woodwardi","species","47.8","41.3","11062"
"Heterodontus woodwardi","species","47.8","41.3","11062"
"Squatina prima","species","47.8","41.3","11062"
"Squalus minor","species","47.8","41.3","11062"
"Scyliorhinus pattersoni","species","47.8","41.3","11062"
"Isurus praecursor","species","47.8","41.3","11062"
"Carcharodon auriculatus","species","47.8","41.3","11062"
"Odontaspis winkleri","species","47.8","41.3","11062"
"Galeorhinus recticonus","species","47.8","41.3","11062"
"Galeocerdo latidens","species","47.8","41.3","11062"
"Pristis lathami","species","47.8","41.3","11062"
"Propristis schweinfurthi","species","47.8","41.3","11062"
"Trygon jaekeli","species","47.8","41.3","11062"
"Aetobatis irregularis","species","47.8","41.3","11062"
"Myliobatis dixoni","species","47.8","41.3","11062"
"Myliobatis striatus","species","47.8","41.3","11062"
"Archaeomanta melenhorsti","species","47.8","41.3","11062"
"Burnhamia daviesi","species","47.8","41.3","11062"
"Squatina prima","species","47.8","41.3","11062"
"Squalus minor","species","47.8","41.3","11062"
"Scyliorhinus pattersoni","species","47.8","41.3","11062"
"Isurus praecursor","species","47.8","41.3","11062"
"Odontaspis winkleri","species","47.8","41.3","11062"
"Galeorhinus recticonus","species","47.8","41.3","11062"
"Galeocerdo latidens","species","47.8","41.3","11062"
"Pristis lathami","species","47.8","41.3","11062"
"Propristis schweinfurthi","species","47.8","41.3","11062"
"Trygon jaekeli","species","47.8","41.3","11062"
"Aetobatis irregularis","species","47.8","41.3","11062"
"Myliobatis dixoni","species","47.8","41.3","11062"
"Myliobatis striatus","species","47.8","41.3","11062"
"Archaeomanta melenhorsti","species","47.8","41.3","11062"
"Burnhamia daviesi","species","47.8","41.3","11062"
"Squatina prima","species","47.8","41.3","11062"
"Isurus praecursor","species","47.8","41.3","11062"
"Odontaspis winkleri","species","47.8","41.3","11062"
"Galeorhinus recticonus","species","47.8","41.3","11062"
"Galeocerdo latidens","species","47.8","41.3","11062"
"Pristis lathami","species","47.8","41.3","11062"
"Trygon jaekeli","species","47.8","41.3","11062"
"Aetobatis irregularis","species","47.8","41.3","11062"
"Myliobatis dixoni","species","47.8","41.3","11062"
"Myliobatis striatus","species","47.8","41.3","11062"
"Burnhamia daviesi","species","47.8","41.3","11062"
"Scyliorhinus pattersoni","species","47.8","41.3","11062"
"Isurus praecursor","species","47.8","41.3","11062"
"Odontaspis winkleri","species","47.8","41.3","11062"
"Galeocerdo latidens","species","47.8","41.3","11062"
"Pristis lathami","species","47.8","41.3","11062"
"Trygon jaekeli","species","47.8","41.3","11062"
"Aetobatis irregularis","species","47.8","41.3","11062"
"Myliobatis dixoni","species","47.8","41.3","11062"
"Myliobatis striatus","species","47.8","41.3","11062"
"Burnhamia daviesi","species","47.8","41.3","11062"
"Squatina prima","species","47.8","41.3","11062"
"Squalus minor","species","47.8","41.3","11062"
"Scyliorhinus pattersoni","species","47.8","41.3","11062"
"Isurus praecursor","species","47.8","41.3","11062"
"Odontaspis winkleri","species","47.8","41.3","11062"
"Galeorhinus recticonus","species","47.8","41.3","11062"
"Galeocerdo latidens","species","47.8","41.3","11062"
"Pristis lathami","species","47.8","41.3","11062"
"Trygon jaekeli","species","47.8","41.3","11062"
"Aetobatis irregularis","species","47.8","41.3","11062"
"Myliobatis dixoni","species","47.8","41.3","11062"
"Myliobatis striatus","species","47.8","41.3","11062"
"Archaeomanta melenhorsti","species","47.8","41.3","11062"
"Burnhamia daviesi","species","47.8","41.3","11062"
"Carcharias (Aprionodon) frequens","species","41.3","38","11199"
"Propristis schweinfurthi","species","41.3","38","11199"
"Lamna obliqua","species","56","47.8","11298"
"Hemipristis serra","species","56","47.8","11298"
"Galeocerdo latidens","species","56","47.8","11298"
"Sphyrna prisca","species","56","47.8","11298"
"Odontaspis macrota","species","37.2","33.9","11344"
"Odontaspis macrota","species","37.2","33.9","11344"
"Odontaspis macrota","species","37.2","33.9","11344"
"Odontaspis macrota","species","56","41.3","11344"
"Carcharodon auriculatus","species","37.2","33.9","11344"
"Notidanus primigenius","species","37.2","33.9","11344"
"Odontaspis macrota","species","37.2","33.9","11344"
"Pristis bisulcatus","species","37.2","33.9","11344"
"Lamna vincenti","species","37.2","33.9","11344"
"Odontaspis acutissima","species","37.2","33.9","11344"
"Odontaspis macrota","species","37.2","33.9","11344"
"Physodon secundus","species","37.2","33.9","11344"
"Odontaspis macrota","species","37.2","33.9","11344"
"Pristis bisulcatus","species","37.2","33.9","11344"
"Lamna obliqua","species","41.3","38","11344"
"Odontaspis cuspidata","species","41.3","38","11344"
"Odontaspis macrota","species","41.3","38","11344"
"Lamna obliqua","species","37.2","33.9","11344"
"Odontaspis cuspidata","species","37.2","33.9","11344"
"Odontaspis macrota","species","37.2","33.9","11344"
"Hemipristis serra","species","23.03","15.97","11413"
"Carcharhinus obscurus","species","23.03","15.97","11413"
"Carcharhinus perezi","species","23.03","15.97","11413"
"Carcharodon hastalis","species","23.03","15.97","11515"
"Carcharodon hastalis","species","23.03","15.97","11515"
"Myledaphus bipartitus","species","72.1","66","11749"
"Myledaphus bipartitus","species","72.1","66","11749"
"Myledaphus bipartitus","species","72.1","66","11749"
"Myledaphus bipartitus","species","72.1","66","11749"
"Myledaphus bipartitus","species","72.1","66","11749"
"Myledaphus bipartitus","species","72.1","66","11749"
"Myledaphus bipartitus","species","72.1","66","11749"
"Myledaphus bipartitus","species","72.1","66","11749"
"Myledaphus bipartitus","species","72.1","66","11749"
"Myledaphus bipartitus","species","72.1","66","11749"
"Myledaphus bipartitus","species","72.1","66","11749"
"Myledaphus bipartitus","species","72.1","66","11749"
"Myledaphus bipartitus","species","72.1","66","11749"
"Squatirhina americana","species","72.1","66","11749"
"Myledaphus bipartitus","species","70.6","66","11749"
"Myledaphus bipartitus","species","72.1","66","11749"
"Myledaphus bipartitus","species","72.1","66","11749"
"Myledaphus bipartitus","species","72.1","66","11749"
"Myledaphus bipartitus","species","72.1","66","11749"
"Squatirhina americana","species","72.1","66","11749"
"Myledaphus bipartitus","species","72.1","66","11749"
"Myledaphus bipartitus","species","83.5","70.6","5929"
"Myledaphus bipartitus","species","83.5","70.6","5929"
"Myledaphus bipartitus","species","83.5","70.6","5929"
"Myledaphus bipartitus","species","83.5","70.6","5929"
"Myledaphus bipartitus","species","83.5","70.6","5929"
"Myledaphus bipartitus","species","83.5","70.6","16643"
"Myledaphus bipartitus","species","72.1","66","11749"
"Myledaphus bipartitus","species","72.1","66","11749"
"Chiloscyllium missouriense","species","83.5","70.6","11964"
"Myledaphus bipartitus","species","83.5","70.6","11964"
"Synodontaspis hardingi","species","83.5","70.6","11964"
"Archaeolamna kopingensis","species","83.5","70.6","11964"
"Chiloscyllium missouriense","species","83.5","70.6","11964"
"Myledaphus bipartitus","species","83.5","70.6","11964"
"Squatina hassei","species","83.5","70.6","11964"
"Synodontaspis hardingi","species","83.5","70.6","11964"
"Myledaphus bipartitus","species","83.5","70.6","11964"
"Squatina hassei","species","83.5","70.6","11964"
"Myledaphus bipartitus","species","83.5","70.6","11964"
"Chiloscyllium missouriense","species","83.5","70.6","11964"
"Myledaphus bipartitus","species","83.5","70.6","11964"
"Myledaphus bipartitus","species","83.5","70.6","11964"
"Galeocerdo latidens","species","48.6","37.2","12009"
"Hemipristis wyattdurhami","species","38","33.9","12024"
"Galeocerdo clarkensis","species","38","33.9","12024"
"Prionodon gibbesi","species","38","33.9","12024"
"Ginglymostoma serra","species","38","33.9","12024"
"Striatolamia macrota","species","47.8","38","12028"
"Galeocerdo latidens","species","47.8","38","12028"
"Prionodon gibbesi","species","47.8","38","12028"
"Striatolamia macrota","species","46.2","40.4","12028"
"Galeocerdo eaglesomei","species","46.2","40.4","12028"
"Striatolamia macrota","species","41.3","38","12028"
"Galeocerdo latidens","species","41.3","38","12028"
"Ginglymostoma serra","species","38","33.9","12028"
"Carcharodon auriculatus","species","38","33.9","12028"
"Galeocerdo latidens","species","38","33.9","12028"
"Prionodon gibbesi","species","38","33.9","12028"
"Propristis schweinfurthi","species","38","33.9","12028"
"Ginglymostoma serra","species","38","33.9","12028"
"Propristis schweinfurthi","species","38","33.9","12028"
"Prionodon gibbesi","species","38","33.9","12028"
"Myledaphus bipartitus","species","83.5","70.6","11964"
"Myledaphus bipartitus","species","83.5","70.6","11964"
"Myledaphus bipartitus","species","83.5","70.6","11964"
"Myledaphus bipartitus","species","72.1","66","12049"
"Striatolamia macrota","species","48.6","37.2","11958"
"Striatolamia macrota","species","48.6","37.2","11958"
"Carcharodon auriculatus","species","48.6","37.2","11958"
"Myledaphus bipartitus","species","83.6","66","12117"
"Odontaspis macrota","species","28.1","23.03","12134"
"Notidanus primigenius","species","28.1","23.03","12134"
"Carcharodon angustidens","species","28.1","23.03","12134"
"Chiloscyllium missouriense","species","83.5","70.6","11964"
"Myledaphus bipartitus","species","83.5","70.6","11964"
"Myledaphus bipartitus","species","83.6","72.1","11964"
"Myledaphus bipartitus","species","83.5","70.6","11964"
"Myledaphus bipartitus","species","70.6","66","803"
"Squatirhina americana","species","70.6","66","803"
"Myledaphus bipartitus","species","70.6","66","1129"
"Squatirhina americana","species","70.6","66","1129"
"Myledaphus bipartitus","species","70.6","66","1129"
"Chiloscyllium missouriense","species","83.5","70.6","11964"
"Myledaphus bipartitus","species","83.5","70.6","11964"
"Myledaphus bipartitus","species","83.6","72.1","11964"
"Myledaphus bipartitus","species","83.5","70.6","11964"
"Myledaphus bipartitus","species","83.5","70.6","11964"
"Striatolamia macrota","species","47.8","41.3","12233"
"Carcharodon auriculatus","species","47.8","41.3","12233"
"Carcharocles megalodon","species","7.246","5.333","12282"
"Carcharodon carcharias","species","7.246","5.333","12282"
"Carcharodon carcharias","species","7.246","5.333","12182"
"Carcharodon hastalis","species","11.62","7.246","12182"
