"Carcharias taurus","0.126","0.0117","1962"
"Galeocerdo cuvier","0.126","0.0117","1962"
"Carcharhinus leucas","0.126","0.0117","1962"
"Carcharhinus obscurus","0.126","0.0117","1962"
"Carcharhinus","0.126","0.0117","1962"
"Negaprion brevirostris","0.126","0.0117","1962"
"Rhizoprionodon","0.126","0.0117","1962"
"Aetobatus narinari","0.126","0.0117","1962"
"Myliobatidae","0.126","0.0117","1962"
"Peyeria libyca","99.6","93.5","7098"
"Serratolamna","99.6","93.5","7098"
"Onchus","419.2","393.3","7144"
"Onchus","419.2","393.3","7144"
"Onchus","419.2","393.3","7144"
"Squalicorax pristodontus","83.5","70.6","7164"
"Galeorhinus","55.8","50.3","2671"
"Onchus","407.6","393.3","7258"
"Onchus","407.6","393.3","7258"
"Squalicorax pristodontus","83.5","70.6","7398"
"Squalicorax pristodontus","70.6","66","7438"
"Odontaspis","70.6","66","7438"
"Squatina","70.6","61.7","29473"
"Squalicorax pristodontus","70.6","61.7","29473"
"Cretolamna appendiculata","70.6","61.7","29473"
"Odontaspis cuspidata","70.6","61.7","29473"
"Rhinoptera","70.6","61.7","29473"
"Myliobatis striatus","70.6","61.7","29473"
"Odontaspis","66","61.6","7438"
"Lamna obliqua","66","61.6","7438"
"Palaeocarcharodon","66","61.6","7438"
"Onchus","419.2","407.6","4261"
"Onchus","423","419.2","4261"
"Igdabatis indicus","72.1","66","7470"
"Myledaphus bipartitus","70.6","66","774"
"Onchopristis dunklei","83.5","70.6","2988"
"Squatirhina americana","83.5","70.6","2988"
"Sclerorhynchus","83.5","70.6","776"
"Pseudohypolophus","83.5","70.6","776"
"Squatina hassei","83.5","70.6","776"
"Synodontaspis holmdelensis","83.5","70.6","776"
"Odontaspis","83.5","70.6","776"
"Plicatolamna arcuata","83.5","70.6","776"
"Cretodus borodini","83.5","70.6","776"
"Paranomotodon","83.5","70.6","776"
"Squalicorax kaupi","83.5","70.6","776"
"Squalicorax pristodontus","83.5","70.6","776"
"Pseudocorax","83.5","70.6","776"
"Leptostyrax bicuspidatus","113","100.5","7600"
"Leptostyrax bicuspidatus","113","100.5","7600"
"Leptostyrax bicuspidatus","113","100.5","7600"
"Leptostyrax bicuspidatus","113","100.5","7600"
"Striatolamia macrota","46.2","40.4","702"
"Carcharhinus","46.2","40.4","702"
"Galeocerdo eaglesomei","46.2","40.4","702"
"Pristis","46.2","40.4","702"
"Myliobatis","46.2","40.4","702"
"Rhinoptera","46.2","40.4","702"
"Carcharias","38","33.9","12028"
"Abdounia","38","33.9","12028"
"Galeocerdo latidens","38","33.9","12028"
"Hemipristis","38","33.9","12028"
"Prionodon gibbesi","38","33.9","701"
"Pristis","38","33.9","701"
"Myliobatis","38","33.9","701"
"Leptostyrax","112.03","109","736"
"Squatirhina americana","70.6","66","717"
"Myledaphus bipartitus","70.6","66","717"
"Onchus","268","252.3","4325"
"Cretolamna appendiculata","83.5","70.6","7903"
"Cretolamna","83.5","70.6","7903"
"Galeocerdo latidens","48.6","37.2","8420"
"Hexanchus","56","47.8","8420"
"Carcharodon","56","47.8","8420"
"Isurus spallanzani","56","47.8","8420"
"Galeocerdo latidens","56","47.8","8420"
"Galeocerdo","56","47.8","8420"
"Galeocerdo","56","47.8","8420"
"Hemipristis","56","47.8","8420"
"Paragaleus","56","47.8","8420"
"Galeorhinus","56","47.8","8420"
"Selachii","56","47.8","8420"
"Myliobatis","56","47.8","8420"
"Galeocerdo latidens","56","47.8","8420"
"Odontaspis acutissima","15.97","13.82","8464"
"Odontaspis cuspidata","15.97","13.82","8464"
"Carcharocles megalodon","15.97","13.82","8464"
"Squalicorax","83.5","70.6","8667"
"Plicatolamna arcuata","83.5","70.6","8667"
"Cretolamna appendiculata","83.5","70.6","8667"
"Odontaspis","83.5","70.6","8667"
"Paranomotodon","83.5","70.6","8667"
"Cretodus borodini","83.5","70.6","8667"
"Pseudohypolophus","83.5","70.6","8667"
"Selachii","83.5","70.6","8667"
"Aetobatus","0.126","0.0117","9009"
"Myledaphus bipartitus","83.5","70.6","9017"
"Myledaphus bipartitus","83.5","70.6","9017"
"Squatirhina americana","83.5","70.6","9017"
"Myledaphus bipartitus","83.5","70.6","9017"
"Squatirhina americana","83.5","70.6","9017"
"Myledaphus bipartitus","83.5","70.6","9017"
"Myledaphus bipartitus","83.5","70.6","9017"
"Myledaphus bipartitus","83.5","70.6","9017"
"Myledaphus bipartitus","83.5","70.6","9017"
"Myledaphus bipartitus","83.5","70.6","9017"
"Myledaphus bipartitus","83.5","70.6","9017"
"Myledaphus bipartitus","83.5","70.6","9017"
"Myledaphus bipartitus","83.5","70.6","9017"
"Myledaphus bipartitus","83.5","70.6","9017"
"Myledaphus bipartitus","83.5","70.6","9017"
"Squatirhina americana","83.5","70.6","9017"
"Myledaphus bipartitus","83.5","70.6","9017"
"Carcharodon hastalis","11.62","7.246","9111"
"Notidanus primigenius","11.62","7.246","9111"
"Odontaspis","11.62","7.246","9111"
"Isurus","11.62","7.246","9111"
"Galeocerdo","11.62","7.246","9111"
"Cetorhinus","11.62","7.246","9111"
"Myledaphus","72.1","66","9477"
"Odontaspis","11.608","5.333","9490"
"Lamna","11.608","5.333","9490"
"Odontaspis","11.608","5.333","9490"
"Heterodontus","83.6","72.1","9505"
"Squalicorax kaupi","83.6","72.1","9505"
"Pseudocorax affinis","83.6","72.1","9505"
"Squatina hassei","83.6","72.1","9505"
"Ginglymostoma globidens","83.6","72.1","9505"
"Cretolamna appendiculata","83.6","72.1","9505"
"Cretodus borodini","83.6","72.1","9505"
"Pseudohypolophus","83.6","72.1","9505"
"Chiloscyllium","83.6","72.1","9536"
"Ginglymostoma","83.6","72.1","9536"
"Cretorectolobus","83.6","72.1","9536"
"Odontaspis","83.6","72.1","9536"
"Carcharias","83.6","72.1","9536"
"Cretolamna","83.6","72.1","9536"
"Squalicorax","83.6","72.1","9536"
"Squatirhina","83.6","72.1","9536"
"Squalicorax","83.6","72.1","9536"
"Chiloscyllium","93.5","89.3","9547"
"Cantioscyllium decipiens","93.5","89.3","9547"
"Cretolamna appendiculata","93.5","89.3","9547"
"Squalicorax falcatus","93.5","89.3","9547"
"Scyliorhinus","93.5","89.3","9547"
"Myledaphus","83.6","72.1","9554"
"Carcharias","99.6","93.5","9572"
"Carcharias","99.6","93.5","9572"
"Carcharias","99.6","93.5","9572"
"Archaeolamna","99.6","93.5","9572"
"Cretolamna appendiculata","99.6","93.5","9572"
"Pseudoisurus tomosus","99.6","93.5","9572"
"Cretodus semiplicatus","99.6","93.5","9572"
"Cretoxyrhina mantelli","99.6","93.5","9572"
"Squalicorax curvatus","99.6","93.5","9572"
"Squalicorax falcatus","99.6","93.5","9572"
"Hexanchus","83.6","66","9577"
"Squatina hassei","83.6","66","9577"
"Squalus","83.6","66","9577"
"Centrosqualus","83.6","66","9577"
"Cretascymnus","83.6","66","9577"
"Cretascymnus","83.6","66","9577"
"Squalicorax pristodontus","83.6","66","9577"
"Squalicorax","83.6","66","9577"
"Squalicorax","83.6","66","9577"
"Pseudocorax affinis","83.6","66","9577"
"Cretolamna appendiculata","83.6","66","9577"
"Cretolamna biauriculata","83.6","66","9577"
"Cretolamna","83.6","66","9577"
"Heterodontus","83.6","66","9577"
"Pteroscyllium","83.6","66","9577"
"Scyliorhinus","83.6","66","9577"
"Triakidae","83.6","66","9577"
"Triakidae","83.6","66","9577"
"Sclerorhynchus","83.6","66","9577"
"Hexanchus","83.6","66","9577"
"Squalicorax pristodontus","83.6","66","9577"
"Squalicorax","83.6","66","9577"
"Squalicorax","83.6","66","9577"
"Pseudocorax affinis","83.6","66","9577"
"Cretolamna biauriculata","83.6","66","9577"
"Ginglymostoma","83.6","66","9577"
"Cretolamna appendiculata","89.3","66","9686"
"Squalicorax pristodontus","89.3","66","9686"
"Pristidae","89.3","66","9686"
"Myledaphus bipartitus","83.5","70.6","9765"
"Isurus","83.5","70.6","9765"
"Squatirhina americana","83.5","70.6","9765"
"Squatirhina","83.5","70.6","9765"
"Myledaphus bipartitus","83.5","70.6","9765"
"Squatirhina","83.5","70.6","9765"
"Myledaphus bipartitus","83.5","70.6","9765"
"Carcharocles megalodon","20.44","15.97","9820"
"Rhinoptera studeri","20.44","15.97","9820"
"Aetobatus arcuatus","20.44","15.97","9820"
"Odontaspis cuspidata","20.44","15.97","9820"
"Pristis aquitanicus","20.44","15.97","9820"
"Carcharocles megalodon","20.44","15.97","9820"
"Carcharhinus egertoni","20.44","15.97","9820"
"Squalicorax falcatus","83.6","72.1","9799"
"Squalicorax falcatus","83.6","72.1","9799"
"Onchopristis dunklei","83.6","66","9949"
"Onchopristis dunklei","85.8","66","9949"
"Lamniformes","58.7","48.6","9960"
"Orectolobus","58.7","48.6","9960"
"Ginglymostoma","58.7","48.6","9960"
"Plicatoscyllium","58.7","48.6","9960"
"Scyliorhinidae","58.7","48.6","9960"
"Myliobatidae","58.7","48.6","9960"
"Isogomphodon","20.44","15.97","10008"
"Rhizoprionodon","20.44","15.97","10008"
"Galeorhinus","20.44","15.97","10008"
"Plinthicus","23.03","5.333","3214"
"Rhinoptera","23.03","5.333","3214"
"Myledaphus","83.5","70.6","10086"
"Cretolamna","70.6","66","10219"
"Pseudocorax","70.6","66","10219"
"Notidanodon","70.6","66","10219"
"Palaeogaleus","70.6","66","10219"
"Palaeocarcharodon","66","61.7","10219"
"Odontaspis","66","61.7","10219"
"Selachii","58.7","55.8","10219"
"Selachii","72.1","66","10219"
"Pseudocorax affinis","86.3","83.6","10375"
"Cretolamna appendiculata","83.6","72.1","10375"
"Lamna serra","83.6","72.1","10375"
"Lamna","83.6","72.1","10375"
"Squalicorax pristodontus","83.6","72.1","10375"
"Cretolamna appendiculata","83.6","72.1","10375"
