"accepted_name","accepted_rank","lng","lat"
"Cretolamna appendiculata","species","-74.300003","40.299999"
"Cretodus","genus","-74.300003","40.299999"
"Cretodus borodini","species","-74.300003","40.299999"
"Paranomotodon","genus","-74.300003","40.299999"
"Pseudocorax","genus","-74.300003","40.299999"
"Squalicorax kaupi","species","-74.300003","40.299999"
"Pseudohypolophus","genus","-74.300003","40.299999"
"Sclerorhynchus","genus","-74.300003","40.299999"
"Ginglymostoma","genus","-81.066666","31.983334"
"Carcharias taurus","species","-81.066666","31.983334"
"Galeocerdo cuvier","species","-81.066666","31.983334"
"Carcharhinus leucas","species","-81.066666","31.983334"
"Carcharhinus obscurus","species","-81.066666","31.983334"
"Carcharhinus","genus","-81.066666","31.983334"
"Negaprion brevirostris","species","-81.066666","31.983334"
"Rhizoprionodon","genus","-81.066666","31.983334"
"Sphyrna","genus","-81.066666","31.983334"
"Aetobatus narinari","species","-81.066666","31.983334"
"Myliobatidae","family","-81.066666","31.983334"
"Carcharias taurus","species","-81.099998","32.000000"
"Galeocerdo cuvier","species","-81.099998","32.000000"
"Carcharhinus leucas","species","-81.099998","32.000000"
"Carcharhinus obscurus","species","-81.099998","32.000000"
"Carcharhinus","genus","-81.099998","32.000000"
"Negaprion brevirostris","species","-81.099998","32.000000"
"Rhizoprionodon","genus","-81.099998","32.000000"
"Aetobatus narinari","species","-81.099998","32.000000"
"Myliobatidae","family","-81.099998","32.000000"
"Peyeria libyca","species","-4.836939","30.505667"
"Serratolamna","genus","-4.836939","30.505667"
"Onchus","genus","-64.800003","-18.450001"
"Onchus","genus","-64.800003","-18.450001"
"Onchus","genus","-64.800003","-18.450001"
"Squalicorax pristodontus","species","-101.133331","38.900002"
"Galeorhinus","genus","-114.083336","28.683332"
"Onchus","genus","-109.616669","44.950001"
"Onchus","genus","-109.616669","44.950001"
"Squalicorax pristodontus","species","-109.129166","45.823334"
"Squalicorax pristodontus","species","-75.166664","39.783333"
"Odontaspis","genus","-75.166664","39.783333"
"Squatina","genus","-75.166664","39.783333"
"Squalicorax pristodontus","species","-75.166664","39.783333"
"Cretolamna appendiculata","species","-75.166664","39.783333"
"Odontaspis cuspidata","species","-75.166664","39.783333"
"Rhinoptera","genus","-75.166664","39.783333"
"Myliobatis striatus","species","-75.166664","39.783333"
"Odontaspis","genus","-75.166664","39.783333"
"Lamna obliqua","species","-75.166664","39.783333"
"Palaeocarcharodon","genus","-75.166664","39.783333"
"Onchus","genus","-83.550003","41.666668"
"Onchus","genus","14.183333","49.933334"
"Igdabatis indicus","species","77.866669","17.216667"
"Myledaphus bipartitus","species","-104.366669","43.299999"
"Onchopristis dunklei","species","-103.516670","29.316668"
"Squatirhina americana","species","-103.516670","29.316668"
"Sclerorhynchus","genus","-75.650558","39.555000"
"Pseudohypolophus","genus","-75.650558","39.555000"
"Squatina hassei","species","-75.650558","39.555000"
"Synodontaspis holmdelensis","species","-75.650558","39.555000"
"Odontaspis","genus","-75.650558","39.555000"
"Plicatolamna arcuata","species","-75.650558","39.555000"
"Cretodus borodini","species","-75.650558","39.555000"
"Paranomotodon","genus","-75.650558","39.555000"
"Squalicorax kaupi","species","-75.650558","39.555000"
"Squalicorax pristodontus","species","-75.650558","39.555000"
"Pseudocorax","genus","-75.650558","39.555000"
"Leptostyrax bicuspidatus","species","-98.253334","32.003334"
"Leptostyrax bicuspidatus","species","-98.269997","32.003334"
"Leptostyrax bicuspidatus","species","-98.201942","32.220554"
"Leptostyrax bicuspidatus","species","-97.616669","33.283333"
"Striatolamia macrota","species","-99.433334","27.533333"
"Carcharhinus","genus","-99.433334","27.533333"
"Galeocerdo eaglesomei","species","-99.433334","27.533333"
"Pristis","genus","-99.433334","27.533333"
"Myliobatis","genus","-99.433334","27.533333"
"Rhinoptera","genus","-99.433334","27.533333"
"Carcharias","genus","-90.738899","35.020000"
"Abdounia","genus","-90.738899","35.020000"
"Galeocerdo latidens","species","-90.738899","35.020000"
"Hemipristis","genus","-90.738899","35.020000"
"Prionodon gibbesi","species","-90.738899","35.020000"
"Pristis","genus","-90.738899","35.020000"
"Myliobatis","genus","-90.738899","35.020000"
"Leptostyrax","genus","-97.688332","32.373333"
"Squatirhina americana","species","-104.491669","40.386391"
"Myledaphus bipartitus","species","-104.491669","40.386391"
"Onchus","genus","48.531387","55.148609"
"Cretolamna appendiculata","species","-2.634513","42.664555"
"Cretolamna","genus","-2.634513","42.664555"
"Galeocerdo latidens","species","73.183334","20.533333"
"Hexanchus","genus","76.983330","30.983334"
"Carcharodon","genus","76.983330","30.983334"
