Species	Status
Negaprion_eurybathrodon	extinct
Notidanodon	extinct
Notidanodon_lanceolatus	extinct
Notidanoides	extinct
Notidanus	extinct
Notidanus_gigas	extinct
Notidanus_munsteri	extinct
Notidanus_primigenius	extinct
Notidanus_serratissimus	extinct
Notorhynchus	extinct
Notorynchus	extinct
Notorynchus_cepedianus	extinct
Odontaspididae	extinct
Odontaspis	extinct
Odontaspis_actutissima	extinct
Odontaspis_acutissima	extinct
Odontaspis_bicarinatus	extinct
Odontaspis_contortidens	extinct
Odontaspis_crassidens	extinct
Odontaspis_cuspidata	extinct
Odontaspis_exilis	extinct
Odontaspis_ferox	extinct
Odontaspis_incurva	extinct
Odontaspis_macrota	extinct
Odontaspis_malletiana	extinct
Odontaspis_sanguinei	extinct
Odontaspis_verticalis	extinct
Odontaspis_vorax	extinct
Odontaspis_winkleri	extinct
Onchopristis	extinct
Onchopristis_dunklei	extinct
Onchopristis_numidus	extinct
Onchus	extinct
Onchus_besomensis	extinct
Onchus_murchisoni	extinct
Onchus_tenuistriatus	extinct
Onchus_wheathillensis	extinct
Orectolobidae	extinct
Orectolobiformes	extinct
Orectoloboides	extinct
Orectolobus	extinct
Ornatoscyllium	extinct
Ornatoscyllium_freemani	extinct
Ornatoscyllium_pattersoni	extinct
Otodontidae	extinct
Otodus	extinct
Otodus_apiculatus	extinct
Oxypristis_ferinus	extinct
Pachygaleus_lefevrei	extinct
Palaeobrachaelurus	extinct
Palaeobrachaelurus_alisonae	extinct
Palaeobrachaelurus_aperizostus	extinct
Palaeobrachaelurus_bedfordensis	extinct
Palaeobrachaelurus_mussetti	extinct
Palaeocarcharias	extinct
Palaeocarcharodon	extinct
Palaeogaleus	extinct
Palaeogaleus_vincenti	extinct
Palaeorhincodon	extinct
Palaeoscyllium	extinct
Palaeoscyllium_formosum	extinct
Palaeoscyllium_tenuidens	extinct
Paracestracion	extinct
Paracestracion_falcifer	extinct
Paracestracion_sarstedensis	extinct
Paracestracion_viohli	extinct
Paraetmopterus_horvathi	extinct
Paraetmopterus_nolfi	extinct
Paragaleus	extinct
Paraginglymostoma	extinct
Paraisurus	extinct
Paraisurus_compressus	extinct
Paranomotodon	extinct
Paranotidanus	extinct
Pararhincodon	extinct
Paratriakis	extinct
Parotodus_benedeni	extinct
Parotodus_benedenii	extinct
Peyeria_libyca	extinct
Phorcynis	extinct
Physodon	extinct
Physodon_secundus	extinct
Physodon_triqueter	extinct
Physogaleus	extinct
Plicatolamna	extinct
Plicatolamna_arcuata	extinct
Plicatoscyllium	extinct
Plinthicus	extinct
Plinthicus_stenodon	extinct
Premontreia	extinct
Premontreia_(Premontreia)_lutetiensis	extinct
Premontreia_(Premontreia)_subulidens	extinct
Premontreia_(Premontreia)_uralica	extinct
Premontreia_degremonti	extinct
Prionace	extinct
Prionodon	extinct
Prionodon_carolinensis	extinct
Prionodon_egertoni	extinct
Prionodon_gibbesi	extinct
Pristidae	extinct
Pristis	extinct
Pristis_amblodon	extinct
Pristis_aquitanicus	extinct
Pristis_atlanticus	extinct
Pristis_bisulcatus	extinct
Pristis_brachyodon	extinct
Pristis_curvidens	extinct
Pristis_dubius	extinct
Pristis_ensidens	extinct
Pristis_fajumensis	extinct
Pristis_lanceolatus	extinct
Pristis_lathami	extinct
Pristis_pectinatus	extinct
Pristis_pickeringi	extinct
Pristis_pristis	extinct
Procentrophorus_balticus	extinct
Proheterodontus_sylvestris	extinct
Promyliobatis_gazolae	extinct
Propristis	extinct
Propristis_schweinfurthi	extinct
Protoginglymostoma	extinct
Protolamna	extinct
Protoscyliorhinus	extinct
Protosqualus	extinct
Protosqualus_argentinensis	extinct
Protosqualus_glickmani	extinct
Pseudocarcharias	extinct
Pseudocarcharias_kamoharai	extinct
Pseudocetorhinus	extinct
Pseudocetorhinus_pickfordi	extinct
Pseudocorax	extinct
Pseudocorax_affinis	extinct
Pseudocorax_laevis	extinct
Pseudodontaspis	extinct
Pseudodontaspis_lauderdalensis	extinct
Pseudoechinorhinus	extinct
Pseudoginglymostoma_brevicaudatum	extinct
Pseudohypolophus	extinct
Pseudoisurus	extinct
Pseudoisurus_tomosus	extinct
Pseudonotidanus	extinct
Pseudonotidanus_politus	extinct
Pseudonotidanus_semirugosus	extinct
Pseudorhina	extinct
Pseudospinax	extinct
Pteromylaeus	extinct
Pteromylaeus_bovinus	extinct
Pteroscyllium	extinct
Pteroscyllium_signeuxi	extinct
Raja	extinct
Raja_batis	extinct
Raja_casieri	extinct
Raja_ceciliae	extinct
Raja_clavata	extinct
Raja_davisi	extinct
Raja_expansa	extinct
Raja_gentili	extinct
Raja_heinzelini	extinct
Raja_mccollumi	extinct
Raja_olisiponensis	extinct
Raja_praeclavata	extinct
Raja_terhagenensis	extinct
Raja_texana	extinct
Rajidae	extinct
Reifia_minuta	extinct
Rhaibodus_rapax	extinct
Rhincodon	extinct
Rhincodon_typus	extinct
Rhinoptera	extinct
Rhinoptera_prisca	extinct
Rhinoptera_raeburni	extinct
Rhinoptera_rasilis	extinct
Rhinoptera_sherboni	extinct
Rhinoptera_studeri	extinct
Rhinopterinae	extinct
Rhizoprionodon	extinct
Rhizoprionodon_taxandriae	extinct
Sclerorhynchus	extinct
