Genus,Species,Red List status
Cruriraja,cadenati,DD
Cruriraja,durbanensis,DD
Cruriraja,poeyi,DD
Cruriraja,rugosa,DD
Ctenacis,fehlmanni,DD
Dactylobatus,armatus,DD
Dactylobatus,clarkii,DD
Dalatias,licha,NT
Dasyatis,chrysonota,LC
Dasyatis,hypostigma,DD
Dasyatis,marmorata,DD
Dasyatis,pastinaca,DD
Deania,calcea,LC
Deania,hystricosa,DD
Deania,profundorum,LC
Deania,quadrispinosa,NT
Dentiraja,flindersi,DD
Dentiraja,lemprieri,LC
Diplobatis,colombiensis,VU
Diplobatis,guamachensis,VU
Diplobatis,ommata,VU
Diplobatis,pictus,VU
Dipturus,acrobelus,LC
Dipturus,apricus,LC
Dipturus,australis,VU
Dipturus,batis,CR
Dipturus,bullisi,DD
Dipturus,campbelli,NT
Dipturus,canutus,EN
Dipturus,cerva,NT
Dipturus,confusus,CR
Dipturus,crosnieri,VU
Dipturus,doutrei,DD
Dipturus,ecuadoriensis,DD
Dipturus,endeavouri,NT
Dipturus,falloargus,DD
Dipturus,garricki,DD
Dipturus,gigas,DD
Dipturus,grahami,LC
Dipturus,gudgeri,NT
Dipturus,healdi,LC
Dipturus,innominatus,NT
Dipturus,johannisdavesi,DD
Dipturus,kwangtungensis,DD
Dipturus,laevis,EN
Dipturus,lanceorostratus,DD
Dipturus,leptocaudus,DD
Dipturus,macrocauda,DD
Dipturus,melanospilus,DD
Dipturus,mennii,VU
Dipturus,nidarosiensis,NT
Dipturus,oculus,LC
Dipturus,olseni,DD
Dipturus,oregoni,DD
Dipturus,oxyrinchus,NT
Dipturus,polyommata,LC
Dipturus,pullopunctatus,LC
Dipturus,queenslandicus,DD
Dipturus,springeri,DD
Dipturus,stenorhynchus,DD
Dipturus,teevani,DD
Dipturus,tengu,DD
Dipturus,trachydermus,VU
Dipturus,wengi,LC
Dipturus,wuhanlingi,DD
Discopyge,tschudii,NT
Echinorhinus,brucus,DD
Echinorhinus,cookei,NT
Electrolux,addisoni,CR
Eridacnis,barbouri,DD
Eridacnis,radcliffei,LC
Eridacnis,sinuans,LC
Etmopterus,baxteri,LC
Etmopterus,bigelowi,LC
Etmopterus,brachyurus,DD
Etmopterus,bullisi,DD
Etmopterus,burgessi,DD
Etmopterus,carteri,DD
Etmopterus,caudistigmus,LC
Etmopterus,decacuspidatus,DD
Etmopterus,dianthus,LC
Etmopterus,dislineatus,LC
Etmopterus,evansi,LC
Etmopterus,fusus,LC
Etmopterus,gracilispinis,LC
Etmopterus,granulosus,LC
Etmopterus,hillianus,LC
Etmopterus,litvinovi,DD
Etmopterus,lucifer,LC
Etmopterus,molleri,DD
Etmopterus,perryi,DD
Etmopterus,polli,DD
Etmopterus,princeps,DD
Etmopterus,pseudosqualiolus,LC
Etmopterus,pusillus,LC
Etmopterus,pycnolepis,DD
Etmopterus,robinsi,LC
Etmopterus,schultzi,LC
Etmopterus,sentosus,LC
Etmopterus,spinax,LC
Etmopterus,splendidus,DD
Etmopterus,unicolor,DD
Etmopterus,villosus,LC
Etmopterus,virens,LC
Eucrossorhinus,dasypogon,LC
Euprotomicroides,zantedeschia,DD
Euprotomicrus,bispinatus,LC
Eusphyra,blochii,EN
Fenestraja,atripinna,DD
Fenestraja,cubensis,DD
Fenestraja,ishiyamai,DD
Fenestraja,maceachrani,DD
Fenestraja,mamillidens,DD
Fenestraja,plutonia,DD
Fenestraja,sibogae,DD
Fenestraja,sinusmexicanus,DD
Figaro,boardmani,LC
Figaro,striatus,DD
Fluvitrygon,kittipongi,EN
Fluvitrygon,oxyrhyncha,EN
Fluvitrygon,signifer,EN
Fontitrygon,colarensis,VU
Fontitrygon,garouaensis,VU
Fontitrygon,geijskesi,NT
Fontitrygon,margarita,EN
Fontitrygon,margaritella,DD
Fontitrygon,ukpam,EN
Furgaleus,macki,LC
Galeocerdo,cuvier,NT
Galeorhinus,galeus,VU
Galeus,antillensis,DD
Galeus,arae,LC
Galeus,atlanticus,NT
Galeus,cadenati,DD
Galeus,eastmani,LC
Galeus,gracilis,DD
Galeus,longirostris,DD
Galeus,melastomus,LC
Galeus,mincaronei,VU
Galeus,murinus,LC
Galeus,nipponensis,DD
Galeus,piperatus,LC
Galeus,polli,LC
Galeus,priapus,LC
Galeus,sauteri,DD
Galeus,schultzi,DD
Galeus,springeri,DD
Ginglymostoma,cirratum,DD
Glaucostegus,cemiculus,EN
Glaucostegus,granulatus,VU
Glaucostegus,halavi,DD
Glaucostegus,obtusus,VU
Glaucostegus,thouin,VU
Glaucostegus,typus,VU
Glyphis,gangeticus,CR
Glyphis,garricki,CR
Glyphis,glyphis,EN
Glyphis,siamensis,CR
Gogolia,filewoodi,DD
Gollum,attenuatus,LC
Gurgesiella,atlantica,DD
Gurgesiella,dorsalifera,VU
Gurgesiella,furvescens,LC
Gymnura,altavela,VU
Gymnura,australis,LC
Gymnura,crebripunctata,DD
Gymnura,japonica,DD
Gymnura,marmorata,LC
Gymnura,micrura,DD
Gymnura,natalensis,DD
Gymnura,poecilura,NT
Gymnura,tentaculata,DD
Gymnura,zonura,VU
Halaelurus,boesemani,DD
Halaelurus,buergeri,DD
Halaelurus,lineatus,DD
Halaelurus,maculosus,LC
Halaelurus,natalensis,DD
Halaelurus,quagga,DD
Halaelurus,sellus,LC
Haploblepharus,edwardsii,NT
Haploblepharus,fuscus,VU
Haploblepharus,kistnasamyi,CR
Haploblepharus,pictus,LC
Harriotta,haeckeli,LC
Harriotta,raleighana,LC
Hemigaleus,australiensis,LC
Hemigaleus,microstoma,VU
Hemipristis,elongata,VU
Hemiscyllium,freycineti,NT
Hemiscyllium,galei,DD
Hemiscyllium,hallstromi,VU
Hemiscyllium,henryi,DD
Hemiscyllium,michaeli,NT
Hemiscyllium,ocellatum,LC
Hemiscyllium,strahani,VU
Hemiscyllium,trispeculare,LC
Hemitriakis,abdita,DD
Hemitriakis,complicofasciata,DD
Hemitriakis,falcata,LC
Hemitriakis,japanica,LC
Hemitriakis,leucoperiptera,EN
Hemitrygon,akajei,NT
Hemitrygon,bennetti,DD
Hemitrygon,fluviorum,VU
Hemitrygon,izuensis,NT
Hemitrygon,laevigata,NT
Hemitrygon,laosensis,EN
Hemitrygon,navarrae,DD
Hemitrygon,parvonigra,DD
Hemitrygon,sinensis,DD
Heptranchias,perlo,NT
Heterodontus,francisci,DD
Heterodontus,galeatus,LC
Heterodontus,japonicus,LC
Heterodontus,mexicanus,DD
Heterodontus,omanensis,DD
Heterodontus,portusjacksoni,LC
Heterodontus,quoyi,DD
Heterodontus,ramalheira,DD
Heterodontus,zebra,LC
Heteronarce,bentuviai,DD
Heteronarce,garmani,VU
Heteronarce,mollis,DD
Heteronarce,prabhui,DD
Heteroscymnoides,marleyi,LC
Hexanchus,griseus,NT
Hexanchus,nakamurai,DD
Hexatrygon,bickelli,LC
Himantura,leoparda,VU
Himantura,marginata,DD
Himantura,schmardae,DD
Himantura,uarnak,VU
Himantura,undulata,VU
Holohalaelurus,favus,EN
Holohalaelurus,grennian,DD
Holohalaelurus,melanostigma,DD
Holohalaelurus,punctatus,EN
Holohalaelurus,regani,LC
Hongeo,koreana,DD
Hydrolagus,affinis,LC
Hydrolagus,africanus,DD
Hydrolagus,alberti,DD
Hydrolagus,alphus,DD
Hydrolagus,barbouri,DD
Hydrolagus,bemisi,LC
Hydrolagus,colliei,LC
Hydrolagus,homonycteris,LC
Hydrolagus,lemures,LC
Hydrolagus,lusitanicus,LC
Hydrolagus,macrophthalmus,DD
Hydrolagus,marmoratus,LC
Hydrolagus,matallanasi,DD
Hydrolagus,mccoskeri,DD
Hydrolagus,melanophasma,LC
Hydrolagus,mirabilis,NT
Hydrolagus,mitsukurii,DD
Hydrolagus,novaezealandiae,LC
Hydrolagus,ogilbyi,VU
Hydrolagus,pallidus,LC
Hydrolagus,purpurescens,DD
Hydrolagus,trolli,LC
Hypanus,americanus,DD
Hypanus,dipterurus,DD
Hypanus,guttatus,DD
Hypanus,longus,DD
Hypanus,marianae,DD
Hypanus,rudis,DD
Hypanus,sabinus,LC
Hypanus,say,LC
Hypnos,monopterygius,LC
Hypogaleus,hyugaensis,LC
Iago,garricki,LC
Iago,omanensis,LC
Insentiraja,laxipella,DD
Insentiraja,subtilispinosa,LC
Irolita,waitii,LC
Irolita,westraliensis,DD
Isistius,brasiliensis,LC
Isistius,labialis,DD
Isistius,plutodus,LC
Isogomphodon,oxyrhynchus,CR
Isurus,oxyrinchus,VU
Isurus,paucus,VU
Lamiopsis,temminckii,EN
Lamna,ditropis,LC
Lamna,nasus,VU
Leptocharias,smithii,NT
Leucoraja,circularis,EN
Leucoraja,compagnoi,DD
Leucoraja,erinacea,NT
Leucoraja,fullonica,VU
Leucoraja,garmani,LC
Leucoraja,lentiginosa,DD
Leucoraja,leucosticta,DD
Leucoraja,melitensis,CR
Leucoraja,naevus,LC
Leucoraja,ocellata,EN
Leucoraja,pristispina,LC
Leucoraja,wallacei,LC
Leucoraja,yucatanensis,DD
Loxodon,macrorhinus,LC
Maculabatis,astra,LC
Maculabatis,gerrardi,VU
Maculabatis,pastinacoides,VU
Maculabatis,toshi,LC
Makararaja,chindwinensis,DD
Malacoraja,kreffti,LC
Malacoraja,obscura,DD
Malacoraja,senta,EN
Malacoraja,spinacidermis,LC
Manta,alfredi,VU
Manta,birostris,VU
Megachasma,pelagios,LC
Megatrygon,microps,DD
Miroscyllium,sheikoi,DD
Mitsukurina,owstoni,LC
Mobula,eregoodootenkee,NT
Mobula,hypostoma,DD
Mobula,japanica,NT
Mobula,kuhlii,DD
Mobula,mobular,EN
Mobula,munkiana,NT
Mobula,rochebrunei,VU
Mobula,tarapacana,VU
Mobula,thurstoni,NT
Mollisquama,parini,DD
Mustelus,albipinnis,DD
Mustelus,antarcticus,LC
Mustelus,asterias,LC
Mustelus,californicus,LC
Mustelus,canis,NT
Mustelus,dorsalis,DD
Mustelus,fasciatus,CR
Mustelus,griseus,DD
Mustelus,henlei,LC
Mustelus,higmani,LC
Mustelus,lenticulatus,LC
Mustelus,lunulatus,LC
Mustelus,manazo,DD
Mustelus,mento,NT
Mustelus,minicanis,DD
Mustelus,mosis,DD
Mustelus,mustelus,VU
Mustelus,norrisi,DD
Mustelus,palumbes,DD
Mustelus,punctulatus,DD
Mustelus,ravidus,LC
