Species ID,Kingdom,Phylum,Class,Order,Family,Genus,Species,Authority,Infraspecific rank,Infraspecific name,Infraspecific authority,Stock/subpopulation,Synonyms,Common names (Eng),Common names (Fre),Common names (Spa),Red List status,Red List criteria,Red List criteria version,Year assessed,Population trend,Petitioned
44218,ANIMALIA,CHORDATA,CHONDRICHTHYES,CARCHARHINIFORMES,SCYLIORHINIDAE,Apristurus,macrorhynchus,"(Tanaka, 1909)",,,,,Scyliorhinus macrorhynchus  ,Flathead Catshark,Holbiche Torazame,Pejegato Chato,DD,,3.1,2004,unknown,N
44219,ANIMALIA,CHORDATA,CHONDRICHTHYES,CARCHARHINIFORMES,SCYLIORHINIDAE,Apristurus,macrostomus,"Chu, Meng & Li, 1985",,,,,"",Broadmouth Catshark,,,DD,,3.1,2004,unknown,N
44599,ANIMALIA,CHORDATA,CHONDRICHTHYES,CARCHARHINIFORMES,SCYLIORHINIDAE,Apristurus,manis,"(Springer, 1979)",,,,,Parmaturus manis  ,Ghost Catshark,Holbiche Fantôme,Pejegato Fantasma,LC,,3.1,2004,unknown,N
42700,ANIMALIA,CHORDATA,CHONDRICHTHYES,CARCHARHINIFORMES,SCYLIORHINIDAE,Apristurus,melanoasper,"Iglésias, Nakaya & Stehmann, 2004",,,,,"","Fleshynose Catshark, Black Roughscale Catshark",Holbiche Noir,,LC,,3.1,2016,unknown,N
44657,ANIMALIA,CHORDATA,CHONDRICHTHYES,CARCHARHINIFORMES,SCYLIORHINIDAE,Apristurus,microps,"(Gilchrist, 1922)",,,,,Scylliorhinus microps  ,Smalleye Catshark,Holbiche Porc,Pejegato Puerco,LC,,3.1,2004,unknown,N
44220,ANIMALIA,CHORDATA,CHONDRICHTHYES,CARCHARHINIFORMES,SCYLIORHINIDAE,Apristurus,micropterygeus,"Meng, Chu & Li, 1986",,,,,"",Smalldorsal Catshark,,,DD,,3.1,2004,unknown,N
44573,ANIMALIA,CHORDATA,CHONDRICHTHYES,CARCHARHINIFORMES,SCYLIORHINIDAE,Apristurus,nasutus,"de Buen, 1959",,,,,"",Largenose Catshark,Holbiche Cyrano,Pejegato Hocicón,DD,,3.1,2004,unknown,N
44221,ANIMALIA,CHORDATA,CHONDRICHTHYES,CARCHARHINIFORMES,SCYLIORHINIDAE,Apristurus,parvipinnis,"Springer & Heemstra, 1979",,,,,"",Smallfin Catshark,Holbiche Petites Ailes,Pejegato Mocho,DD,,3.1,2004,unknown,N
44222,ANIMALIA,CHORDATA,CHONDRICHTHYES,CARCHARHINIFORMES,SCYLIORHINIDAE,Apristurus,pinguis,"Deng, Xiong & Zhan, 1983",,,,,"",Bulldog Catshark,,,LC,,3.1,2015,unknown,N
44223,ANIMALIA,CHORDATA,CHONDRICHTHYES,CARCHARHINIFORMES,SCYLIORHINIDAE,Apristurus,platyrhynchus,"(Tanaka, 1909)",,,,,Apristurus acanutus  |Apristurus verweyi  ,"Flatnose Catshark, Spatulasnout Catshark, Bigfin Catshark, Spatula Catshark, Borneo Catshark","Holbiche Malaise, Holbiche Spatula","Pejegato De Borneo, Pejegato Espatulado",LC,,3.1,2015,unknown,N
44224,ANIMALIA,CHORDATA,CHONDRICHTHYES,CARCHARHINIFORMES,SCYLIORHINIDAE,Apristurus,profundorum,"(Goode & Bean, 1896)",,,,,Scylliorhinus profundorum  ,Deepwater Catshark,Holbiche Papoila,Pejegato Abisal,DD,,3.1,2004,unknown,N
44639,ANIMALIA,CHORDATA,CHONDRICHTHYES,CARCHARHINIFORMES,SCYLIORHINIDAE,Apristurus,riveri,"Bigelow & Schroeder, 1944",,,,,"",Broadgill Catshark,Holbiche Grandes Oreilles,Pejegato Agallón,DD,,3.1,2007,unknown,N
44602,ANIMALIA,CHORDATA,CHONDRICHTHYES,CARCHARHINIFORMES,SCYLIORHINIDAE,Apristurus,saldanha,"(Barnard, 1925)",,,,,Scylliorhinus saldanha  ,Saldanha Catshark,Holbiche Gatussau,Pejegato Saldaña,LC,,3.1,2004,unknown,N
161672,ANIMALIA,CHORDATA,CHONDRICHTHYES,CARCHARHINIFORMES,SCYLIORHINIDAE,Apristurus,sibogae,"(Weber, 1913)",,,,,Scyliorhinus sibogae  ,Pale Catshark Pale Catshark,,,DD,,3.1,2009,unknown,N
