"occurrence_no","record_type","reid_no","flags","collection_no","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"68131","occ","","","4868","Carcharhinus macloti","species","83191","Lutetian","","47.8","41.3","289"
"68132","occ","","","4868","Triaenodon","genus","83202","Lutetian","","47.8","41.3","289"
"68133","occ","","","4868","Myliobatidae","family","80577","Lutetian","","47.8","41.3","289"
"75053","occ","","","5553","Isurus","genus","34613","Middle Eocene","Lutetian","48.6","41.3","332"
"76212","occ","","","5607","Cretolamna","genus","34608","Early Campanian","","83.5","70.6","338"
"76213","occ","","","5607","Squalicorax pristodontus","species","110986","Early Campanian","","83.5","70.6","338"
"97404","occ","","","7437","Odontaspis","genus","34620","Bartonian","","41.3","38","466"
"97601","occ","","","7439","Odontaspis","genus","34620","Bartonian","","41.3","38","466"
"110053","occ","","","8325","Onchus","genus","34866","Ludfordian","","425.6","423","570"
"144271","occ","","","12578","Cretolamna","genus","34608","Early Cenomanian","","99.6","93.5","4244"
"144278","occ","","","12579","Cretolamna","genus","34608","Early Cenomanian","","99.6","93.5","4244"
"144284","occ","","","12580","Cretolamna","genus","34608","Early Cenomanian","","99.6","93.5","4244"
"144289","occ","","","12581","Cretolamna","genus","34608","Early Cenomanian","","99.6","93.5","4244"
"149299","occ","","","13142","Myledaphus bipartitus","species","63022","Maastrichtian","","72.1","66","4381"
"150329","occ","","","13346","Carcharocles","genus","34603","Bridgerian","","50.3","46.2","688"
"150330","occ","","","13346","Odontaspis","genus","34620","Bridgerian","","50.3","46.2","688"
"150331","occ","","","13346","Striatolamia macrota","species","66716","Bridgerian","","50.3","46.2","688"
"150332","occ","","","13346","Carcharias","genus","64190","Bridgerian","","50.3","46.2","688"
"150335","occ","","","13346","Lamna","genus","34615","Bridgerian","","50.3","46.2","688"
"150336","occ","","","13346","Abdounia","genus","34638","Bridgerian","","50.3","46.2","688"
"150337","occ","","","13346","Galeorhinus recticonus","species","125033","Bridgerian","","50.3","46.2","688"
"150338","occ","","","13346","Physodon","genus","65806","Bridgerian","","50.3","46.2","688"
"150339","occ","","","13346","Nebrius","genus","34587","Bridgerian","","50.3","46.2","688"
"150342","occ","","","13346","Pristis lathami","species","100810","Bridgerian","","50.3","46.2","688"
"150343","occ","","","13346","Burnhamia","genus","34727","Bridgerian","","50.3","46.2","688"
"150344","occ","","","13346","Aetobatus","genus","34721","Bridgerian","","50.3","46.2","688"
"150345","occ","","","13346","Myliobatis","genus","34741","Bridgerian","","50.3","46.2","688"
"150860","occ","","","13449","Isurus","genus","34613","Miocene","","23.03","5.333","6063"
"150862","occ","","","13449","Hemipristis serra","species","83182","Miocene","","23.03","5.333","6063"
"150863","occ","","","13449","Galeocerdo","genus","34643","Miocene","","23.03","5.333","6063"
"150864","occ","","","13449","Myliobatis","genus","34741","Miocene","","23.03","5.333","6063"
"150865","occ","","","13449","Trygon sinhaleyus","species","68428","Miocene","","23.03","5.333","6063"
"150866","occ","","","13449","Chrysophris","genus","68429","Miocene","","23.03","5.333","6063"
"155373","occ","","","13829","Onchus","genus","34866","Pridoli","","423","419.2","6155"
"155374","occ","","","13829","Onchus tenuistriatus","species","209902","Pridoli","","423","419.2","6155"
"155383","occ","","","13830","Onchus tenuistriatus","species","209902","Pridoli","","423","419.2","6155"
"155404","occ","","","13831","Onchus tenuistriatus","species","209902","Ohesaare","","423","419.2","6155"
"155405","occ","","","13831","Onchus murchisoni","species","209895","Ohesaare","","423","419.2","6155"
"161385","occ","","","14201","Onchus","genus","34866","Lochkovian","","419.2","410.8","4261"
