Species	Status	min_age	max_age
Myliobatis_striatus	extinct	41.3	47.8
Myliobatis	extinct	41.3	47.8
Myliobatis	extinct	41.3	47.8
Archaeomanta_melenhorsti	extinct	41.3	47.8
Burnhamia_daviesi	extinct	41.3	47.8
Burnhamia	extinct	41.3	47.8
Notorhynchus	extinct	41.3	47.8
Eostegostoma	extinct	41.3	47.8
Squatina_prima	extinct	41.3	47.8
Abdounia	extinct	41.3	47.8
Abdounia	extinct	41.3	47.8
Scyliorhinus	extinct	41.3	47.8
Scyliorhinus	extinct	41.3	47.8
Isurus_praecursor	extinct	41.3	47.8
Isurolamna	extinct	41.3	47.8
Lamna	extinct	41.3	47.8
Carcharias	extinct	41.3	47.8
Carcharias	extinct	41.3	47.8
Carcharias	extinct	41.3	47.8
Odontaspis_winkleri	extinct	41.3	47.8
Galeorhinus_recticonus	extinct	41.3	47.8
Galeorhinus	extinct	41.3	47.8
Physogaleus	extinct	41.3	47.8
Galeocerdo_latidens	extinct	41.3	47.8
Pristis_lathami	extinct	41.3	47.8
Anoxypristis	extinct	41.3	47.8
Trygon_jaekeli	extinct	41.3	47.8
Aetobatis_irregularis	extinct	41.3	47.8
Aetobatus	extinct	41.3	47.8
Rhinoptera	extinct	41.3	47.8
Myliobatis_dixoni	extinct	41.3	47.8
Myliobatis_striatus	extinct	41.3	47.8
Myliobatis	extinct	41.3	47.8
Myliobatis	extinct	41.3	47.8
Burnhamia_daviesi	extinct	41.3	47.8
Burnhamia	extinct	41.3	47.8
Notorhynchus	extinct	41.3	47.8
Nebrius	extinct	41.3	47.8
Hemiscyllium	extinct	41.3	47.8
Eostegostoma	extinct	41.3	47.8
Isistius	extinct	41.3	47.8
Abdounia	extinct	41.3	47.8
Abdounia	extinct	41.3	47.8
Scyliorhinus	extinct	41.3	47.8
Scyliorhinus_pattersoni	extinct	41.3	47.8
Scyliorhinus	extinct	41.3	47.8
Triakis	extinct	41.3	47.8
Isurus_praecursor	extinct	41.3	47.8
Isurolamna	extinct	41.3	47.8
Lamna	extinct	41.3	47.8
Carcharias	extinct	41.3	47.8
Carcharias	extinct	41.3	47.8
Carcharias	extinct	41.3	47.8
Odontaspis_winkleri	extinct	41.3	47.8
Galeorhinus	extinct	41.3	47.8
Physogaleus	extinct	41.3	47.8
Galeocerdo_latidens	extinct	41.3	47.8
Pristis_lathami	extinct	41.3	47.8
Trygon_jaekeli	extinct	41.3	47.8
Aetobatis_irregularis	extinct	41.3	47.8
Myliobatis_dixoni	extinct	41.3	47.8
Myliobatis_striatus	extinct	41.3	47.8
Burnhamia_daviesi	extinct	41.3	47.8
Burnhamia	extinct	41.3	47.8
Notorhynchus	extinct	41.3	47.8
Nebrius	extinct	41.3	47.8
Eostegostoma	extinct	41.3	47.8
Squatina_prima	extinct	41.3	47.8
Squalus_minor	extinct	41.3	47.8
Isistius	extinct	41.3	47.8
Abdounia	extinct	41.3	47.8
Abdounia	extinct	41.3	47.8
Scyliorhinus	extinct	41.3	47.8
Scyliorhinus_pattersoni	extinct	41.3	47.8
Scyliorhinus	extinct	41.3	47.8
Scyliorhinus	extinct	41.3	47.8
Isurus_praecursor	extinct	41.3	47.8
Isurolamna	extinct	41.3	47.8
Lamna	extinct	41.3	47.8
Carcharias	extinct	41.3	47.8
Carcharias	extinct	41.3	47.8
Carcharias	extinct	41.3	47.8
Carcharias	extinct	41.3	47.8
Odontaspis_winkleri	extinct	41.3	47.8
Galeorhinus_recticonus	extinct	41.3	47.8
Galeorhinus	extinct	41.3	47.8
