"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&base_name=Sirenia"
"Access Time","Fri 2017-02-03 23:50:23 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","Sirenia"
"","timerule","major"
"","taxon_status","all"
"Elapsed Time","0.0377"
"Records Found","796"
"Records Returned","796"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"493599","occ","","","49874","n. gen. Prorastomus n. sp. sirenoides","species","64964","","Prorastomus sirenoides","species","64964","Ypresian","","56","47.8","18757"
"493600","occ","","","49875","Prorastomus sirenoides","species","64964","","Prorastomus sirenoides","species","64964","Lutetian","","47.8","41.3","13400"
"493601","occ","","","49876","Sirenia indet.","order","36873","","Sirenia","order","36873","Priabonian","","38","33.9","12993"
"493602","occ","","","49877","Sirenia indet.","order","36873","","Sirenia","order","36873","Early Miocene","","23.03","15.97","12993"
"493603","occ","","","49878","Sirenia indet.","order","36873","","Sirenia","order","36873","Eocene","","56","33.9","12993"
"493604","occ","","","49879","Sirenia indet.","order","36873","","Sirenia","order","36873","Bartonian","","41.3","38","12993"
"493605","occ","","","49880","Sirenia indet.","order","36873","","Sirenia","order","36873","Late Eocene","","37.2","33.9","12993"
"493608","occ","","","49881","Sirenia indet.","order","36873","","Sirenia","order","36873","Middle Eocene","","48.6","37.2","12993"
"493609","occ","","","41446","Protosiren sp.","genus","36896","","Protosiren","genus","36896","Lutetian","","47.8","41.3","12993"
"493610","occ","15609","","49882","Protosiren sp.","genus","36896","","Protosiren","genus","36896","Bartonian","","41.3","38","15418"
"493611","occ","","","49883","Protosiren sp.","genus","36896","","Protosiren","genus","36896","Middle Eocene","","48.6","37.2","12993"
"493612","occ","","","49884","Protosiren sp.","genus","36896","","Protosiren","genus","36896","Middle Eocene","","48.6","37.2","12993"
"493614","occ","","","49885","Sirenia indet.","order","36873","","Sirenia","order","36873","Priabonian","","38","33.9","12993"
"493615","occ","","","32908","Sirenia indet.","order","36873","","Sirenia","order","36873","Priabonian","","38","33.9","12993"
"493616","occ","","","13405","Sirenia indet.","order","36873","","Sirenia","order","36873","Priabonian","","38","33.9","12993"
"493617","occ","","","5459","Protosiren sp.","genus","36896","","Protosiren","genus","36896","Bartonian","","41.3","38","12993"
"493618","occ","","","5386","Sirenia indet.","order","36873","","Sirenia","order","36873","Bartonian","","41.3","38","12993"
"493619","occ","","","5387","Protosiren sp.","genus","36896","","Protosiren","genus","36896","Bartonian","","41.3","38","12993"
"493636","occ","","","5447","Sirenia indet.","order","36873","","Sirenia","order","36873","Bartonian","","41.3","38","12993"
"493637","occ","","","49886","Sirenia indet.","order","36873","","Sirenia","order","36873","Ypresian","","56","47.8","13401"
"493638","occ","","","49887","n. gen. Sirenavus n. sp. hungaricus","species","64855","","Sirenavus hungaricus","species","64855","Lutetian","","47.8","41.3","13402"
"493639","occ","12708","","49888","Sirenia indet.","order","36873","","Sirenia","order","36873","Eocene","","56","33.9","13414"
"493640","occ","12709","","49887","Sirenia indet.","order","36873","","Sirenia","order","36873","Lutetian","","47.8","41.3","13414"
"493641","occ","","","49889","n. gen. Paralitherium n. sp. tarkanyense","species","65059","","Paralitherium tarkanyense","species","65059","Priabonian","","38","33.9","13723"
"493642","occ","","","49890","Sirenia indet.","order","36873","","Sirenia","order","36873","Late Eocene","","37.2","33.9","13404"
"493643","occ","13184","","49891","Sirenia indet.","order","36873","","Sirenia","order","36873","Late Miocene","","11.608","5.333","13722"
"493893","occ","","","49919","Eosiren libyca","species","64985","","Eosiren libyca","species","64985","Priabonian","","38","33.9","6026"
"493911","occ","","","49924","n. gen. Archaeosiren n. sp. stromeri","species","64987","recombined as","Eosiren stromeri","species","64987","Priabonian","","38","33.9","36308"
"493954","occ","","","49933","""Halitherium"" sp.","genus","36883","nomen dubium","Dugongidae","family","43286","Lutetian","Bartonian","47.8","38","12993"
"493955","occ","","","49935","Hippopotamus n. sp. minimus","species","64965","recombined as","Protosiren minima","species","64965","Lutetian","Bartonian","47.8","38","29834"
"493956","occ","","","49935","Eotheroides sp.","genus","43287","","Eotheroides","genus","43287","Lutetian","Bartonian","47.8","38","12993"
"493957","occ","","","49936","Eotheroides sp.","genus","43287","","Eotheroides","genus","43287","Lutetian","Priabonian","47.8","33.9","12993"
"493988","occ","","","49939","Sirenia indet.","order","36873","","Sirenia","order","36873","Middle Eocene","","48.6","37.2","12993"
"493989","occ","","","49940","cf. Prototherium sp.","genus","36897","","Prototherium","genus","86900","Middle Eocene","","48.6","37.2","12993"
"494043","occ","","","49942","Sirenia indet.","order","36873","","Sirenia","order","36873","Bartonian","","41.3","38","12993"
"494044","occ","23267","","49943","Protosirenidae indet.","family","43290","","Protosirenidae","family","43290","Lutetian","","47.8","41.3","33120"
"494061","occ","","","48072","Sirenia indet.","order","36873","","Sirenia","order","36873","Lutetian","","47.8","41.3","13414"
"494062","occ","","","49887","Protosiren fraasi","species","53110","","Protosiren fraasi","species","53110","Lutetian","","47.8","41.3","13414"
"494063","occ","","","49889","Sirenavus sp.","genus","36901","","Sirenavus","genus","36901","Priabonian","","38","33.9","13414"
"494064","occ","","","49889","Halitherium sp.","genus","36883","nomen dubium","Dugongidae","family","43286","Priabonian","","38","33.9","13414"
"494067","occ","","","49952","Sirenia indet.","order","36873","","Sirenia","order","36873","Eocene","","56","33.9","13414"
"494069","occ","","","49953","Sirenia indet.","order","36873","","Sirenia","order","36873","Eocene","","56","33.9","13414"
"494070","occ","","","49954","Sirenia indet.","order","36873","","Sirenia","order","36873","Eocene","","56","33.9","13414"
"494072","occ","","","49956","Sirenia indet.","order","36873","","Sirenia","order","36873","Eocene","","56","33.9","13414"
"494073","occ","","","49957","Sirenia indet.","order","36873","","Sirenia","order","36873","Eocene","","56","33.9","13414"
"494074","occ","","","49958","Sirenavus sp.","genus","36901","","Sirenavus","genus","36901","Eocene","","56","33.9","13414"
"494075","occ","","","49959","Sirenia indet.","order","36873","","Sirenia","order","36873","Eocene","","56","33.9","13414"
"494076","occ","","","49960","Sirenavus sp.","genus","36901","","Sirenavus","genus","36901","Eocene","","56","33.9","13414"
"494077","occ","","","49960","Sirenia indet.","order","36873","","Sirenia","order","36873","Eocene","","56","33.9","13414"
"496018","occ","","","50068","Hydrodamalis cuestae","species","53135","","Hydrodamalis cuestae","species","53135","Zanclean","","5.333","3.6","13448"
"496039","occ","","","50069","Hydrodamalis cuestae","species","53135","","Hydrodamalis cuestae","species","53135","Zanclean","","5.333","3.6","13448"
"501686","occ","","","50929","n. gen. Haplosiren n. sp. leganyii","species","66013","subjective synonym of","Metaxytherium medium","species","53119","Tortonian","","11.62","7.246","13594"
"506476","occ","","F","50343","cf. Dugong sp.","genus","53124","","Dugong","genus","53124","Zanclean","","5.333","3.6","36305"
"508146","occ","","","46308","Metaxytherium sp.","genus","36890","","Metaxytherium","genus","36890","Burdigalian","","20.44","15.97","13722"
"508155","occ","","","51582","Sirenia indet.","order","36873","","Sirenia","order","36873","Middle Eocene","","48.6","37.2","33109"
"508156","occ","","","51584","Sirenia indet.","order","36873","","Sirenia","order","36873","Early Miocene","","23.03","15.97","13722"
"508157","occ","","","51585","Sirenia indet.","order","36873","","Sirenia","order","36873","Chattian","","28.1","23.03","13722"
"508158","occ","13836","","51586","Dugongidae indet.","family","43286","","Dugongidae","family","43286","Early Miocene","Middle Miocene","23.03","11.608","13722"
"508159","occ","","","51587","Sirenia indet.","order","36873","","Sirenia","order","36873","Middle Miocene","","15.97","11.608","13722"
"508160","occ","","","51588","Metaxytherium sp.","genus","36890","","Metaxytherium","genus","36890","Miocene","","23.03","5.333","13722"
"513645","occ","","","52047","Halitherium schinzi","species","86754","misspelling of, nomen dubium","Dugongidae","family","43286","Rupelian","","33.9","28.1","29875"
"515368","occ","","","48884","Metaxytherium n. sp. calvertense","species","53158","subjective synonym of","Metaxytherium crataegense","species","71179","Burdigalian","","20.44","15.97","14028"
"515374","occ","","","52180","Dioplotherium allisoni","species","53131","","Dioplotherium allisoni","species","65049","Middle Miocene","","15.97","11.608","6029"
"515377","occ","","","18731","Halianassa allisoni","species","65049","recombined as","Dioplotherium allisoni","species","65049","Barstovian","Hemphillian","15.97","4.9","18731"
"515381","occ","","","18731","Sirenia indet.","order","36873","","Sirenia","order","36873","Barstovian","Hemphillian","15.97","4.9","6029"
"515388","occ","","","18731","Halitheriinae indet.","subfamily","53107","","Halitheriinae","subfamily","71172","Barstovian","Hemphillian","15.97","4.9","6029"
"515390","occ","","","18731","Dugongidae indet.","family","43286","","Dugongidae","family","43286","Barstovian","Hemphillian","15.97","4.9","6029"
"515394","occ","","","52181","Dioplotherium allisoni","species","53131","","Dioplotherium allisoni","species","65049","Middle Miocene","","15.97","11.608","6029"
"515420","occ","","","43804","Sirenia indet.","order","36873","","Sirenia","order","36873","Early Miocene","Middle Miocene","23.03","11.608","6029"
"515449","occ","18334","","52182","Dusisiren n. sp. reinharti","species","53134","","Dusisiren reinharti","species","53134","Middle Miocene","","15.97","11.608","6029"
"515451","occ","","","52183","Sirenia indet.","order","36873","","Sirenia","order","36873","Langhian","","15.97","13.82","6029"
"515458","occ","","","12120","Sirenia indet.","order","36873","","Sirenia","order","36873","Serravallian","","13.82","11.62","6029"
"515460","occ","","","19342","Dioplotherium allisoni","species","53131","","Dioplotherium allisoni","species","65049","Hemphillian","","10.3","4.9","6029"
"515479","occ","","","52184","Dusisiren jordani","species","53132","","Dusisiren jordani","species","65042","Tortonian","","11.62","7.246","6029"
"515480","occ","","","52185","Dusisiren jordani","species","53132","","Dusisiren jordani","species","65042","Tortonian","","11.62","7.246","6029"
"515820","occ","","","52201","Dusisiren jordani","species","53132","","Dusisiren jordani","species","65042","Tortonian","","11.62","7.246","6029"
"515839","occ","","","52202","Sirenia indet.","order","36873","","Sirenia","order","36873","Tortonian","","11.62","7.246","6029"
"515853","occ","","","52203","Dusisiren informal sp. B","genus","36879","obsolete variant of","Dusisiren","genus","36879","Late Miocene","Early Pliocene","11.608","3.6","6029"
"515856","occ","","","52210","Dusisiren informal sp. B","genus","36879","obsolete variant of","Dusisiren","genus","36879","Tortonian","","11.62","7.246","6029"
"515962","occ","","","52213","Dusisiren jordani","species","53132","","Dusisiren jordani","species","65042","Late Miocene","Early Pliocene","11.608","3.6","6029"
"515980","occ","","","52214","Dusisiren jordani","species","53132","","Dusisiren jordani","species","65042","Late Miocene","Early Pliocene","11.608","3.6","6029"
"515981","occ","18367","","52215","Dusisiren dewana","species","65043","","Dusisiren dewana","species","65043","Early Pliocene","","5.333","3.6","18605"
"515982","occ","18368","","52216","Dusisiren dewana","species","65043","","Dusisiren dewana","species","65043","Tortonian","","11.62","7.246","18605"
"515991","occ","18369","","52217","Dusisiren dewana","species","65043","","Dusisiren dewana","species","65043","Zanclean","","5.333","3.6","18605"
"516005","occ","","","52218","Hydrodamalis cuestae","species","53135","","Hydrodamalis cuestae","species","53135","Piacenzian","","3.6","2.588","6029"
"516020","occ","","","52219","Hydrodamalis cuestae","species","53135","","Hydrodamalis cuestae","species","53135","Piacenzian","","3.6","2.588","6029"
"516022","occ","","","52220","Hydrodamalis cuestae","species","53135","","Hydrodamalis cuestae","species","53135","Hemphillian","","10.3","4.9","6029"
"516039","occ","","","52221","Hydrodamalis cuestae","species","53135","","Hydrodamalis cuestae","species","53135","Late Pliocene","","3.6","2.588","6029"
"516060","occ","","","52223","Hydrodamalis cuestae","species","53135","","Hydrodamalis cuestae","species","53135","Piacenzian","","3.6","2.588","6029"
"516088","occ","","","52227","Hydrodamalis cuestae","species","53135","","Hydrodamalis cuestae","species","53135","Late Pliocene","","3.6","2.588","6029"
"516099","occ","","","52229","Hydrodamalis cuestae","species","53135","","Hydrodamalis cuestae","species","53135","Late Pliocene","","3.6","2.588","6029"
