"Records:"
"accepted_name","accepted_rank"
"Centrosqualus","genus"
"Anomotodon plicatus","species"
"Scapanorhynchus lewisii","species"
"Scapanorhynchus","genus"
"Acanthoscyllium","genus"
"Almascyllium","genus"
"Scyliorhinus","genus"
"Pteroscyllium","genus"
"Pteroscyllium signeuxi","species"
"Paratriakis","genus"
"Acrodus","genus"
"Igdabatis","genus"
"Elasmobranchii","subclass"
"Elasmobranchii","subclass"
"Elasmobranchii","subclass"
"Selachii","unranked clade"
"Dasyatis","genus"
"Acrodus","genus"
"Hybodontidae","family"
"Lamna","genus"
"Lamna","genus"
"Jiaodontus vedenemus","species"
"Xenacanthus indicus","species"
"Lamna","genus"
"Protosqualus","genus"
"Gladioserratus magnus","species"
"Notidanodon","genus"
"Cretalamna","genus"
"Dwardius sudindicus","species"
"Eostriatolamia","genus"
"Squalicorax","genus"
"Cretodus","genus"
"Neoselachii","unranked clade"
"Ctenacanthus","genus"
"Ctenacanthus","genus"
"Hybodus","genus"
"Isanodus paladeji","species"
"Heteroptychodus kokutensis","species"
"Lamna","genus"
"Hexanchus","genus"
"Squalicorax pristodontus","species"
"Squalicorax","genus"
"Squalicorax","genus"
"Cretolamna biauriculata","species"
"Anomotodon plicatus","species"
"Anomotodon","genus"
"Hexanchus","genus"
"Scapanorhynchus rapax","species"
"Squalicorax","genus"
"Squalicorax pristodontus","species"
"Squalicorax","genus"
"Squalicorax","genus"
"Squalicorax","genus"
"Cretolamna biauriculata","species"
"Cretolamna","genus"
"Cretolamna appendiculata","species"
"Carcharias","genus"
"Anomotodon plicatus","species"
"Plicatoscyllium","genus"
"Pteroscyllium","genus"
"Hypsobatis","genus"
"Youssoubatis","genus"
"Rhinobatos","genus"
"Rhombodus meridionalis","species"
"Myliobatiformes","order"
"Hexanchus","genus"
"Squalicorax pristodontus","species"
"Squalicorax kaupi","species"
"Carcharias","genus"
"Anomotodon plicatus","species"
"Plicatoscyllium","genus"
"Pteroscyllium","genus"
"Hypsobatis","genus"
"Youssoubatis","genus"
"Rhinobatos","genus"
"Rhombodus meridionalis","species"
"Scapanorhynchus rapax","species"
"Squalicorax","genus"
"Squalicorax pristodontus","species"
"Squalicorax","genus"
"Cretolamna","genus"
"Carcharias","genus"
"Plicatoscyllium","genus"
"Dalpiazia stromeri","species"
"Parapalaeobates atlanticus","species"
"Hypsobatis","genus"
"Youssoubatis","genus"
"Hamrabatis","genus"
"Rhinobatos","genus"
"Erguitaia","genus"
"Coupatezia","genus"
"Rhombodus meridionalis","species"
"Myliobatiformes","order"
"Scapanorhynchus rapax","species"
"Squalicorax","genus"
"Squalicorax pristodontus","species"
"Squalicorax kaupi","species"
"Squalicorax","genus"
"Cretolamna","genus"
"Carcharias","genus"
"Plicatoscyllium","genus"
"Squatigaleus","genus"
"Dalpiazia stromeri","species"
"Parapalaeobates atlanticus","species"
"Hypsobatis","genus"
"Youssoubatis","genus"
"Hamrabatis","genus"
"Rhinobatos","genus"
"Erguitaia","genus"
"Coupatezia","genus"
"Rhombodus","genus"
"Myliobatiformes","order"
"Scapanorhynchus rapax","species"
"Squalicorax pristodontus","species"
"Squalicorax kaupi","species"
"Squalicorax","genus"
"Squalicorax","genus"
"Cretolamna biauriculata","species"
"Cretolamna","genus"
"Carcharias","genus"
"Chiloscyllium","genus"
"Plicatoscyllium","genus"
"Parapalaeobates atlanticus","species"
"Hypsobatis","genus"
"Youssoubatis","genus"
"Rhinobatos","genus"
"Erguitaia","genus"
"Rhombodus meridionalis","species"
"Myliobatiformes","order"
"Squalicorax","genus"
"Squalicorax pristodontus","species"
"Squalicorax kaupi","species"
"Squalicorax","genus"
"Cretolamna biauriculata","species"
"Cretolamna","genus"
"Cretolamna appendiculata","species"
"Carcharias","genus"
"Chiloscyllium","genus"
"Plicatoscyllium","genus"
"Squatigaleus","genus"
"Dalpiazia stromeri","species"
"Parapalaeobates atlanticus","species"
"Hypsobatis","genus"
"Youssoubatis","genus"
"Erguitaia","genus"
"Coupatezia","genus"
"Rhombodus meridionalis","species"
"Rhombodus","genus"
"Myliobatiformes","order"
"Scapanorhynchus rapax","species"
"Squalicorax pristodontus","species"
"Squalicorax kaupi","species"
"Parapalaeobates atlanticus","species"
"Rhombodus","genus"
"Squalicorax","genus"
"Glikmanius occidentalis","species"
"Lissodus","genus"
"Hybodontoidea","superfamily"
"Squalicorax dalinkevichiusi","species"
"Paraisurus","genus"
"Batoidea","unranked clade"
"Parapalaeobates","genus"
"Scapanorhynchus","genus"
"Cretolamna biauriculata","species"
"Squalicorax","genus"
"Plicatoscyllium","genus"
"Hybodus","genus"
"Myledaphus","genus"
"Hybodus antingensis","species"
"Elasmobranchii","subclass"
"Hybodontidae","family"
"Hybodontidae","family"
"Hybodus","genus"
"Acrodus","genus"
"Asteracanthus","genus"
"Ctenacanthidae","family"
"Hybodontidae","family"
"Meishanselache liui","species"
"Neoselachii","unranked clade"
"Polyacrodus jiangxiensis","species"
"Lissodus xiushuiensis","species"
"Sinacrodus donglingensis","species"
"Sinacrodus donglingensis","species"
"Bransonella","genus"
"Hybodontidae","family"
"Stethacanthus gansuensis","species"
"Stethacanthus altonensis","species"
"Denaea","genus"
"Hybodus zuodengensis","species"
"Hybodus yohi","species"
"Polyacrodus tiandongensis","species"
"Paleospinacidae","family"
"Omanoselache contrarius","species"
"Minuticorona","genus"
"Omanoselache contrarius","species"
"Omanoselache contrarius","species"
"Parvodus","genus"
"Neoselachii","unranked clade"
"Minuticorona","genus"
"Arctacanthus exiguus","species"
"Arctacanthus","genus"
"Arctacanthus","genus"
"Arctacanthus","genus"
"Squalicorax falcatus","species"
"Cyclobatis oligodactylus","species"
"Carcharocles megalodon","species"
"Odontaspis","genus"
"Serratocorona halberdiforme","species"
"Fragilicorona paralabritricuspis","species"
"Ornathiliabrilance","genus"
"Fragilicorona paralabritricuspis","species"
"Glabrisubcorona","genus"
"Fragilicorona paralabritricuspis","species"
"Carinasubcorona bamaolinense","species"
"Hybodontidae","family"
"Parvicorona dacrysulca","species"
"Annulicorona pyramidalis","species"
"Sacrisubcorona circabasis","species"
"Glabrisubcorona arduidevexa","species"
"Lobaticorona floriditurris","species"
"Parvicorona dacrysulca","species"
"Annulicorona pyramidalis","species"
"Parvicorona dacrysulca","species"
"Labrilancea glabrisubcuspis","species"
"Gansuselache","genus"
"Acrodus","genus"
"Hexanchidae","family"
"Polyacrodus minimus","species"
"Hybodontidae","family"
"Asteracanthus somaensis","species"
"Hybodus","genus"
"Hybodontidae","family"
"Acrodus","genus"
"Polyacrodus","genus"
"Asteracanthus","genus"
"Euselachii","infraclass"
"Acrodus","genus"
"Polyacrodus","genus"
"Hybodontidae","family"
"Hybodus","genus"
"Lonchidion khoratensis","species"
"Isanodus paladeji","species"
"Parvodus","genus"
"Heteroptychodus steinmanni","species"
"Glikmanius myachkovensis","species"
"Glikmanius myachkovensis","species"
"Glikmanius culmenis","species"
"Omanoselache angiolinii","species"
"Gunnellodus bellistriatus","species"
"Euselachii","infraclass"
"Omanoselache hendersoni","species"
"Glikmanius myachkovensis","species"
"Glikmanius culmenis","species"
"Omanoselache hendersoni","species"
"Omanoselache angiolinii","species"
"Teresodus amplexus","species"
"Gunnellodus bellistriatus","species"
"Khuffia lenis","species"
"Khuffia prolixa","species"
"Cooleyella fordi","species"
"Neoselachii","unranked clade"
"Glikmanius myachkovensis","species"
"Glikmanius culmenis","species"
"Gunnellodus bellistriatus","species"
"Glikmanius myachkovensis","species"
"Glikmanius myachkovensis","species"
"Omanoselache hendersoni","species"
"Teresodus amplexus","species"
"Gunnellodus bellistriatus","species"
"Glikmanius myachkovensis","species"
"Glikmanius culmenis","species"
"Omanoselache hendersoni","species"
"Omanoselache angiolinii","species"
"Omanoselache","genus"
"Reesodus underwoodi","species"
"Teresodus amplexus","species"
"Gunnellodus bellistriatus","species"
"Khuffia lenis","species"
"Khuffia prolixa","species"
"Nemacanthus","genus"
"Amelacanthus sulcatus","species"
"Glikmanius myachkovensis","species"
"Glikmanius culmenis","species"
"Omanoselache hendersoni","species"
"Omanoselache angiolinii","species"
"Omanoselache","genus"
"Reesodus underwoodi","species"
"Teresodus amplexus","species"
"Gunnellodus bellistriatus","species"
"Khuffia lenis","species"
"Khuffia prolixa","species"
"Euselachii","infraclass"
"Glikmanius myachkovensis","species"
"Omanoselache hendersoni","species"
"Omanoselache","genus"
"Reesodus underwoodi","species"
"Teresodus amplexus","species"
"Gunnellodus bellistriatus","species"
"Khuffia lenis","species"
"Khuffia prolixa","species"
"Omanoselache hendersoni","species"
"Teresodus amplexus","species"
"Glikmanius myachkovensis","species"
"Glikmanius culmenis","species"
"Omanoselache hendersoni","species"
"Omanoselache angiolinii","species"
"Omanoselache","genus"
"Teresodus amplexus","species"
"Gunnellodus bellistriatus","species"
"Khuffia lenis","species"
"Euselachii","infraclass"
"Amelacanthus sulcatus","species"
"Glikmanius myachkovensis","species"
"Glikmanius culmenis","species"
"Omanoselache hendersoni","species"
"Omanoselache angiolinii","species"
"Omanoselache","genus"
"Reesodus underwoodi","species"
"Teresodus amplexus","species"
"Gunnellodus bellistriatus","species"
"Khuffia lenis","species"
"Khuffia prolixa","species"
"Glikmanius myachkovensis","species"
"Glikmanius culmenis","species"
"Omanoselache hendersoni","species"
"Omanoselache angiolinii","species"
"Omanoselache","genus"
"Teresodus amplexus","species"
"Hybodontiformes","order"
"Gunnellodus bellistriatus","species"
"Khuffia lenis","species"
"Euselachii","infraclass"
"Amelacanthus sulcatus","species"
"Glikmanius myachkovensis","species"
"Glikmanius culmenis","species"
"Omanoselache angiolinii","species"
"Teresodus amplexus","species"
"Gunnellodus bellistriatus","species"
"Euselachii","infraclass"
"Cooleyella fordi","species"
"Amelacanthus sulcatus","species"
"Glikmanius myachkovensis","species"
"Glikmanius culmenis","species"
"Omanoselache angiolinii","species"
"Gunnellodus bellistriatus","species"
"Glikmanius myachkovensis","species"
"Omanoselache angiolinii","species"
"Glikmanius myachkovensis","species"
"Omanoselache angiolinii","species"
"Glikmanius myachkovensis","species"
"Teresodus amplexus","species"
"Gunnellodus bellistriatus","species"
"Glikmanius myachkovensis","species"
"Gunnellodus bellistriatus","species"
"Glikmanius myachkovensis","species"
"Omanoselache hendersoni","species"
"Gunnellodus bellistriatus","species"
"Gunnellodus bellistriatus","species"
"Glikmanius myachkovensis","species"
"Omanoselache hendersoni","species"
"Reesodus underwoodi","species"
"Teresodus amplexus","species"
"Gunnellodus bellistriatus","species"
"Khuffia lenis","species"
"Khuffia prolixa","species"
"Reesodus underwoodi","species"
"Myliobatis dixoni","species"
"Eotorpedo hilgendorfi","species"
"Myliobatis dixoni","species"
"Myliobatis dixoni","species"
"Myliobatis dixoni","species"
"Myliobatis dixoni","species"
"Myliobatis dixoni","species"
"Odontaspis","genus"
"Ginglymostoma","genus"
"Eotorpedo hilgendorfi","species"
"Myliobatis dixoni","species"
"Odontaspis","genus"
"Ginglymostoma","genus"
"Ginglymostoma","genus"
"Eotorpedo hilgendorfi","species"
"Myliobatis dixoni","species"
"Myliobatis dixoni","species"
"Myliobatis dixoni","species"
"Thaiodus ruchae","species"
"Hybodus","genus"
"Heteroptychodus steinmanni","species"
"Acrorhizodus khoratensis","species"
"Hybodus aequitridentatus","species"
"Heteroptychodus steinmanni","species"
"Acrodus flemingianus","species"
"Acrodus","genus"
"Acrodus jaeckeli","species"
"Dasyatis","genus"
"Arctacanthus exiguus","species"
"Hybodus","genus"
"Acrodus spitzbergensis","species"
"Polyacrodus","genus"
"Euselachii","infraclass"
"Acrodus spitzbergensis","species"
"Hybodus","genus"
"Polyacrodus","genus"
"Euselachii","infraclass"
"Arctacanthus exiguus","species"
"Euselachii","infraclass"
"Acrodus spitzbergensis","species"
"Euselachii","infraclass"
"Acrodus spitzbergensis","species"
"Synechodus","genus"
"Synechodus triangulus","species"
"Synechodus","genus"
"Euselachii","infraclass"
"Acrodus spitzbergensis","species"
"Hybodus","genus"
"Polyacrodus","genus"
"Synechodus","genus"
"Euselachii","infraclass"
"Arctacanthus exiguus","species"
"Euselachii","infraclass"
"Polyacrodus","genus"
"Synechodus triangulus","species"
"Synechodus","genus"
"Synechodus","genus"
"Synechodus","genus"
"Synechodus triangulus","species"
"Synechodus","genus"
"Synechodus triangulus","species"
"Synechodus","genus"
"Synechodus","genus"
"Synechodus","genus"
"Synechodus","genus"
"Synechodus","genus"
"Synechodus","genus"
"Synechodus","genus"
"Synechodus","genus"
"Synechodus","genus"
"Synechodus","genus"
"Synechodus","genus"
"Synechodus","genus"
"Synechodus","genus"
"Synechodus","genus"
"Synechodus","genus"
"Synechodus","genus"
"Acrodus spitzbergensis","species"
"Euselachii","infraclass"
"Polyacrodus minimus","species"
"Hybodontidae","family"
"Hybodontidae","family"
"Hybodus huangnidanensis","species"
"Lissodus","genus"
"Hybodus","genus"
"Hybodus plicatilis","species"
"Hybodus","genus"
"Acrodus","genus"
"Lissodus","genus"
"Hybodus","genus"
"Xiphodolamia serrata","species"
"Carcharocles megalodon","species"
"Igdabatis sigmodon","species"
"Dasyatis","genus"
"Rhombodus laevis","species"
"Igdabatis sigmodon","species"
"Polyacrodus","genus"
"Hybodus plicatilis","species"
"Carcharhinus","genus"
"Carcharhinus","genus"
"Rhizoprionodon","genus"
"Cretolamna","genus"
"Nebrius","genus"
"Myliobatis","genus"
"Carcharhinus balochenisis","species"
"Carcharhinus perseus","species"
"Carcharhinus","genus"
"Negaprion","genus"
"Rhizoprionodon","genus"
"Hemipristis serra","species"
