"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&base_name=Elasmobranchii&cc=ASI"
"Access Time","Fri 2017-02-03 22:50:36 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","Elasmobranchii"
"","cc","ASI"
"","timerule","major"
"","taxon_status","all"
"Elapsed Time","0.239"
"Records Found","1367"
"Records Returned","1367"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"375322","occ","","","35444","Cretolamna biauriculata","species","153960","","Cretolamna biauriculata","species","153959","Campanian","Maastrichtian","83.6","66","9577"
"375323","occ","","","35444","Ginglymostoma sp.","genus","34584","","Ginglymostoma","genus","34584","Campanian","Maastrichtian","83.6","66","9577"
"375325","occ","","","35444","n. gen. Rhinobatoidei sp.","genus","111367","","Rhinobatoidei","suborder","111367","Campanian","Maastrichtian","83.6","66","9577"
"380071","occ","","","35974","Hybodontidae indet.","family","210086","","Hybodontidae","family","56538","Barremian","Aptian","129.4","113","25207"
"381995","occ","","","36256","Scapanorhynchus texanus","species","117671","","Scapanorhynchus texanus","species","117670","Senonian","Maastrichtian","89.3","66","9686"
"381996","occ","","","36256","Scapanorhynchus gigas","species","253541","","Scapanorhynchus gigas","species","253541","Senonian","Maastrichtian","89.3","66","9686"
"381997","occ","","","36256","Lamna appendiculata","species","124954","recombined as","Cretolamna appendiculata","species","117676","Senonian","Maastrichtian","89.3","66","9686"
"381998","occ","","","36256","Corax pristodontus","species","110986","recombined as","Squalicorax pristodontus","species","110986","Senonian","Maastrichtian","89.3","66","9686"
"382000","occ","","","36256","Ptychodus sp.","genus","34513","","Ptychodus","genus","34513","Senonian","Maastrichtian","89.3","66","9686"
"382001","occ","","","36256","Pristidae indet.","family","63612","","Pristidae","family","63612","Senonian","Maastrichtian","89.3","66","9686"
"388715","occ","","","37182","Lamniformes indet.","order","34598","","Lamniformes","order","34598","Late Paleocene","Early Eocene","58.7","48.6","9960"
"388716","occ","","","37182","Orectolobus sp.","genus","131706","","Orectolobus","genus","131706","Late Paleocene","Early Eocene","58.7","48.6","9960"
"388717","occ","","","37182","Ginglymostoma sp.","genus","34584","","Ginglymostoma","genus","34584","Late Paleocene","Early Eocene","58.7","48.6","9960"
"388718","occ","","","37182","Plicatoscyllium sp.","genus","90133","","Plicatoscyllium","genus","90133","Late Paleocene","Early Eocene","58.7","48.6","9960"
"388719","occ","","","37182","Scyliorhinidae indet.","family","83175","","Scyliorhinidae","family","83175","Late Paleocene","Early Eocene","58.7","48.6","9960"
"388720","occ","","","37182","Rhinobatos sp.","genus","34708","","Rhinobatos","genus","34708","Late Paleocene","Early Eocene","58.7","48.6","9960"
"388721","occ","","","37182","Rhinobatoidei indet.","suborder","111367","","Rhinobatoidei","suborder","111367","Late Paleocene","Early Eocene","58.7","48.6","9960"
"388722","occ","","","37182","Dasyatoidea indet.","superfamily","96192","","Dasyatoidea","superfamily","96192","Late Paleocene","Early Eocene","58.7","48.6","9960"
"388723","occ","","","37182","Myliobatidae indet.","family","80577","","Myliobatidae","family","80577","Late Paleocene","Early Eocene","58.7","48.6","9960"
"391668","occ","","","37596","Polyacrodus balabansaiensis","species","34508","species not entered","Polyacrodus","genus","34508","Callovian","","166.1","163.5","10054"
"391669","occ","","","37596","Polyacrodus prodigialis","species","34508","species not entered","Polyacrodus","genus","34508","Callovian","","166.1","163.5","10054"
"391684","occ","","","37597","Polyacrodus balabansaiensis","species","34508","species not entered","Polyacrodus","genus","34508","Callovian","","166.1","163.5","10054"
"391685","occ","","","37597","Polyacrodus prodigialis","species","34508","species not entered","Polyacrodus","genus","34508","Callovian","","166.1","163.5","10054"
"404700","occ","","","13449","Isurus sp.","genus","34613","","Isurus","genus","34613","Miocene","","23.03","5.333","10445"
