"Striatolamia macrota","species","Middle Eocene"
"Carcharias","genus","Middle Eocene"
"Isurus praecursor","species","Middle Eocene"
"Notorhynchus","genus","Middle Eocene"
"Cretolamna","genus","Middle Eocene"
"Carcharocles","genus","Middle Eocene"
"Scyliorhinus","genus","Middle Eocene"
"Galeorhinus","genus","Middle Eocene"
"Abdounia","genus","Middle Eocene"
"Abdounia","genus","Middle Eocene"
"Abdounia","genus","Middle Eocene"
"Galeocerdo latidens","species","Middle Eocene"
"Physogaleus","genus","Middle Eocene"
"Rhizoprionodon","genus","Middle Eocene"
"Rhinobatos steurbauti","species","Middle Eocene"
"Dasyatis","genus","Middle Eocene"
"Hypolophodon","genus","Middle Eocene"
"Glikmania","genus","Middle Eocene"
"Pristis","genus","Middle Eocene"
"Anoxypristis","genus","Middle Eocene"
"Coupatezia woutersi","species","Middle Eocene"
"Aetobatis irregularis","species","Middle Eocene"
"Aktaua","genus","Middle Eocene"
"Myliobatis","genus","Middle Eocene"
"Rhinoptera","genus","Middle Eocene"
"Archaeomanta melenhorsti","species","Middle Eocene"
"Burnhamia daviesi","species","Middle Eocene"
"Hybodus","genus","Anisian"
"Hybodus","genus","Illyrian"
"Acrodus levis","species","Early Cenomanian"
"Hybodontoidea","superfamily","Early Cenomanian"
"Orectolobiformes","order","Maastrichtian"
"Cretolamna","genus","Maastrichtian"
"Dasyatidae","family","Maastrichtian"
"Rhombodus binkhorsti","species","Maastrichtian"
"Hemiscyllium","genus","Maastrichtian"
"Cretolamna","genus","Maastrichtian"
"Rhinobatos","genus","Maastrichtian"
"Dasyatidae","family","Maastrichtian"
"Plicatoscyllium","genus","Early Maastrichtian"
"Cretolamna biauriculata","species","Early Maastrichtian"
"Squalicorax","genus","Early Maastrichtian"
"Carcharias","genus","Early Maastrichtian"
"Lamniformes","order","Early Maastrichtian"
"Dalpiazia stromeri","species","Early Maastrichtian"
"Rhombodus binkhorsti","species","Early Maastrichtian"
"Dasyatidae","family","Early Maastrichtian"
"Hemiscyllium","genus","Early Maastrichtian"
"Plicatoscyllium","genus","Early Maastrichtian"
"Odontaspididae","family","Early Maastrichtian"
"Lamnidae","family","Early Maastrichtian"
"Cretolamna","genus","Early Maastrichtian"
"Squalicorax","genus","Early Maastrichtian"
"Rhinobatos","genus","Early Maastrichtian"
"Parapalaeobates","genus","Early Maastrichtian"
"Dalpiazia stromeri","species","Early Maastrichtian"
"Rhombodus binkhorsti","species","Early Maastrichtian"
"Dasyatoidea","superfamily","Early Maastrichtian"
"Plicatoscyllium","genus","Late Campanian"
"Pteroscyllium","genus","Late Campanian"
"Scyliorhinus","genus","Late Campanian"
"Youssoubatis","genus","Late Campanian"
"Hexanchus","genus","Early Eocene"
"Heptranchias","genus","Early Eocene"
"Mitsukurina","genus","Early Eocene"
"Weltonia","genus","Early Eocene"
"Pristiophorus","genus","Early Eocene"
"Odontaspididae","family","Early Eocene"
"Pseudocarcharias","genus","Early Eocene"
"Megascyliorhinus","genus","Early Eocene"
"Dasyatis","genus","Early Eocene"
"Hexanchus","genus","Priabonian"
"Heptranchias","genus","Priabonian"
"Centrophorus","genus","Priabonian"
"Pristiophorus","genus","Priabonian"
"Brachaelurus","genus","Priabonian"
"Pararhincodon","genus","Priabonian"
"Carcharias","genus","Priabonian"
"Isurus","genus","Priabonian"
"Carcharocles","genus","Priabonian"
"Alopias","genus","Priabonian"
"Xiphodolamia","genus","Priabonian"
"Scyliorhinus","genus","Priabonian"
"Physogaleus","genus","Priabonian"
"Galeocerdo","genus","Priabonian"
"Carcharhinus","genus","Priabonian"
"Rhizoprionodon","genus","Priabonian"
"Hemipristis","genus","Priabonian"
"Hemigaleidae","family","Priabonian"
"Triakis","genus","Priabonian"
"Rhynchobatus","genus","Priabonian"
"Rhinobatos","genus","Priabonian"
"Dasyatis","genus","Priabonian"
"Gymnura","genus","Priabonian"
"Myliobatis","genus","Priabonian"
"Torpedo","genus","Priabonian"
"Carcharias","genus","Lutetian"
"Galeorhinus","genus","Lutetian"
"Abdounia","genus","Lutetian"
"Rhizoprionodon","genus","Lutetian"
"Scyliorhinus","genus","Lutetian"
"Rhinobatos","genus","Lutetian"
"Archaeomanta","genus","Lutetian"
"Burnhamia","genus","Lutetian"
"Merabatis","genus","Lutetian"
"Dasyatis","genus","Maastrichtian"
"Rhombodus","genus","Maastrichtian"
"Galeorhinus","genus","Ypresian"
"Dasyatis","genus","Ypresian"
"Myliobatis","genus","Ypresian"
"Carcharocles megalodon","species","Tortonian"
"Negaprion","genus","Middle Miocene"
"Sphyrna","genus","Middle Miocene"
"Scoliodon","genus","Middle Miocene"
"Carcharodon carcharias","species","Middle Miocene"
"Galeocerdo","genus","Early Miocene"
"Isurus","genus","Early Miocene"
"Myliobatis","genus","Early Miocene"
"Carcharodon","genus","Early Miocene"
"Igdabatis","genus","Maastrichtian"
"Polyacrodus","genus","Toarcian"
"Myliobatis","genus","Lutetian"
"Carcharhinus","genus","Lutetian"
"Galeorhinus","genus","Lutetian"
"Isurus","genus","Lutetian"
"Igdabatis indicus","species","Maastrichtian"
"Carcharodon","genus","Early Pleistocene"
"Carcharodon carcharias","species","Early Pleistocene"
"Odontaspis cuspidata","species","Early Pleistocene"
"Carcharodon hastalis","species","Early Pleistocene"
"Nebrius","genus","Burdigalian"
"Hemipristis serra","species","Burdigalian"
"Galeocerdo","genus","Burdigalian"
"Carchariniformes","order","Burdigalian"
"Carcharhinus priscus","species","Burdigalian"
"Carcharhinus","genus","Burdigalian"
"Carcharhinus","genus","Burdigalian"
"Isogomphodon","genus","Burdigalian"
"Rhynchobatus","genus","Burdigalian"
"Pristis","genus","Burdigalian"
"Dasyatis","genus","Burdigalian"
"Pteromylaeus","genus","Burdigalian"
"Myliobatis","genus","Burdigalian"
"Aetobatus","genus","Burdigalian"
"Rhinoptera","genus","Burdigalian"
"Mobula","genus","Burdigalian"
"Carcharodon carcharias","species","Middle Miocene"
"Isurus","genus","Middle Miocene"
"Negaprion","genus","Early Miocene"
"Sphyrna","genus","Early Miocene"
"Carcharodon carcharias","species","Early Miocene"
"Isurus","genus","Early Miocene"
"Dasyatis","genus","Early Miocene"
"Hybodus","genus","Tithonian"
"Lissodus","genus","Tithonian"
"Heteroptychodus","genus","Tithonian"
"Heteroptychodus steinmanni","species","Barremian"
"Cretolamna","genus","Eocene"
"Nebrius","genus","Eocene"
"Negaprion eurybathrodon","species","Eocene"
"Carcharhinus","genus","Eocene"
"Rhizoprionodon","genus","Eocene"
"Dasyatis charlisae","species","Eocene"
"Rhinoptera","genus","Eocene"
"Myliobatis","genus","Eocene"
"Odontorhytis pappenheimi","species","Eocene"
"Carcharodon turgidus","species","Chattian"
"Hybodus","genus","Middle Jurassic"
"Polyacrodus","genus","Middle Jurassic"
"Hubeiodus ziguiensis","species","Middle Jurassic"
"Polyacrodus parvidens","species","Middle Jurassic"
"Hybodus","genus","Middle Jurassic"
"Parvodus","genus","Middle Jurassic"
"Polyacrodus","genus","Middle Jurassic"
"Hubeiodus ziguiensis","species","Middle Jurassic"
"Carcharhinus","genus","Early Miocene"
"Galeocerdo","genus","Early Miocene"
"Hemipristis serra","species","Early Miocene"
"Hypoprion","genus","Early Miocene"
"Isurus","genus","Early Miocene"
"Isurus","genus","Early Miocene"
"Carcharocles megalodon","species","Early Miocene"
"Alopias","genus","Early Miocene"
"Sphyrna","genus","Early Miocene"
"Carcharias","genus","Early Miocene"
"Carcharhinus","genus","Zanclean"
"Scoliodon","genus","Zanclean"
"Isurus","genus","Zanclean"
"Isurus","genus","Zanclean"
"Myliobatis","genus","Zanclean"
"Aetobatus","genus","Zanclean"
"Carcharhinus","genus","Early Miocene"
"Hypoprion","genus","Early Miocene"
"Scoliodon","genus","Early Miocene"
"Isurus","genus","Early Miocene"
"Isurus","genus","Early Miocene"
"Isurus","genus","Early Miocene"
"Carcharocles megalodon","species","Early Miocene"
"Carcharodon carcharias","species","Early Miocene"
"Carcharodon","genus","Early Miocene"
"Carcharias","genus","Early Miocene"
"Carchariolamna","genus","Early Miocene"
"Myliobatis","genus","Early Miocene"
 obsolete variant of","Aetobatus","34721"
"Raja","genus","Early Miocene"
"Mobula","genus","Early Miocene"
"Cretolamna","genus","Late Cretaceous"
"Orthacanthus","genus","Late Cretaceous"
"Raja","genus","Early Miocene"
"Myliobatis","genus","Early Miocene"
"Myliobatis","genus","Early Miocene"
"Aetobatus","genus","Early Miocene"
"Prionodon","genus","Zanclean"
"Aprionodon","genus","Zanclean"
"Hybodontidae","family","Roadian"
"Cladodus","genus","Moscovian"
"Cladodus","genus","Moscovian"
"Cladodus","genus","Moscovian"
"Cladodus","genus","Moscovian"
"Glikmanius occidentalis","species","Roadian"
"Glikmanius occidentalis","species","Roadian"
"Petrodus","genus","Roadian"
"Petrodus","genus","Roadian"
"Manberodus fortis","species","Early Frasnian"
"Phoebodus latus","species","Early Frasnian"
"Manberodus fortis","species","Early Frasnian"
"Phoebodus latus","species","Early Frasnian"
"Subathunura casieri","species","Ypresian"
"Dasyatis rafinesquei","species","Ypresian"
"Subathunura casieri","species","Ypresian"
"Dasyatis rafinesquei","species","Ypresian"
"Squatina","genus","Late Paleocene"
"Ginglymostoma","genus","Late Paleocene"
"Dasyatis","genus","Late Paleocene"
"Gymnura","genus","Late Paleocene"
"Subathunura casieri","species","Late Paleocene"
"Myliobatis","genus","Late Paleocene"
"Myliobatidae","family","Late Paleocene"
"Dasyatis vicaryi","species","Ypresian"
"Onchopristis","genus","Cretaceous"
"Ptychodus mahakalensis","species","Cretaceous"
"Sclerorhynchus atavus","species","Santonian"
"Rhinobatos grandis","species","Cenomanian"
"Rhinobatos hakelensis","species","Cenomanian"
"Rhinobatos intermedius","species","Santonian"
"Rhinobatos latus","species","Santonian"
"Rhinobatos","genus","Cenomanian"
"Rhinobatos primarmatus","species","Santonian"
"Rhinobatos tenuirostris","species","Santonian"
"Rhinobatos whitfieldi","species","Cenomanian"
"Rhombopterygia rajoides","species","Cenomanian"
"Raja davisi","species","Santonian"
"Raja expansa","species","Cenomanian"
"Cyclobatis major","species","Cenomanian"
"Cyclobatis major","species","Cenomanian"
"Cyclobatis oligodactylus","species","Cenomanian"
"Cyclobatis oligodactylus","species","Cenomanian"
"Cyclobatis tuberculatus","species","Cenomanian"
"Plicatolamna","genus","Cenomanian"
"Mesiteia emiliae","species","Cenomanian"
"Pararhincodon","genus","Cenomanian"
"Scyliorhinus","genus","Cenomanian"
"Plicatolamna","genus","Cenomanian"
"Scyliorhinus","genus","Cenomanian"
"Hexanchus","genus","Santonian"
"Hexanchus","genus","Santonian"
"Pristiophorus","genus","Santonian"
"Cretascymnus","genus","Santonian"
"Squalus latidens","species","Santonian"
"Centrosqualus","genus","Santonian"
"Anomotodon plicatus","species","Santonian"
"Scapanorhynchus lewisii","species","Santonian"
"Scapanorhynchus","genus","Santonian"
"Acanthoscyllium","genus","Santonian"
"Almascyllium","genus","Santonian"
"Scyliorhinus","genus","Santonian"
"Pteroscyllium","genus","Santonian"
"Pteroscyllium signeuxi","species","Santonian"
"Paratriakis","genus","Santonian"
"Acrodus","genus","Aptian"
"Igdabatis","genus","Late Maastrichtian"
"Elasmobranchii","subclass","Early Pleistocene"
"Elasmobranchii","subclass","Late Pliocene"
"Elasmobranchii","subclass","Late Pliocene"
"Selachii","unranked clade","Middle Eocene"
"Dasyatis","genus","Middle Eocene"
"Acrodus","genus","Anisian"
"Hybodontidae","family","Barremian"
"Lamna","genus","Neogene"
"Lamna","genus","Neogene"
"Jiaodontus vedenemus","species","Oxfordian"
"Xenacanthus indicus","species","Carnian"
"Lamna","genus","Late Pleistocene"
"Protosqualus","genus","Albian"
"Gladioserratus magnus","species","Albian"
"Notidanodon","genus","Albian"
"Cretalamna","genus","Albian"
"Dwardius sudindicus","species","Albian"
"Eostriatolamia","genus","Albian"
"Squalicorax","genus","Albian"
"Cretodus","genus","Albian"
"Neoselachii","unranked clade","Tortonian"
"Ctenacanthus","genus","Changhsingian"
"Ctenacanthus","genus","Changhsingian"
"Hybodus","genus","Barremian"
"Isanodus paladeji","species","Barremian"
"Heteroptychodus kokutensis","species","Barremian"
"Lamna","genus","Rupelian"
"Hexanchus","genus","Late Campanian"
"Squalicorax pristodontus","species","Late Campanian"
"Squalicorax","genus","Late Campanian"
"Squalicorax","genus","Late Campanian"
"Cretolamna biauriculata","species","Late Campanian"
"Anomotodon plicatus","species","Late Campanian"
"Anomotodon","genus","Late Campanian"
"Hexanchus","genus","Late Campanian"
"Scapanorhynchus rapax","species","Late Campanian"
"Squalicorax","genus","Late Campanian"
"Squalicorax pristodontus","species","Late Campanian"
"Squalicorax","genus","Late Campanian"
"Squalicorax","genus","Late Campanian"
"Squalicorax","genus","Late Campanian"
"Cretolamna biauriculata","species","Late Campanian"
"Cretolamna","genus","Late Campanian"
"Cretolamna appendiculata","species","Late Campanian"
"Carcharias","genus","Late Campanian"
"Anomotodon plicatus","species","Late Campanian"
"Plicatoscyllium","genus","Late Campanian"
"Pteroscyllium","genus","Late Campanian"
"Hypsobatis","genus","Late Campanian"
"Youssoubatis","genus","Late Campanian"
"Rhinobatos","genus","Late Campanian"
"Rhombodus meridionalis","species","Late Campanian"
"Myliobatiformes","order","Late Campanian"
"Hexanchus","genus","Late Campanian"
"Squalicorax pristodontus","species","Late Campanian"
"Squalicorax kaupi","species","Late Campanian"
"Carcharias","genus","Late Campanian"
"Anomotodon plicatus","species","Late Campanian"
"Plicatoscyllium","genus","Late Campanian"
"Pteroscyllium","genus","Late Campanian"
"Hypsobatis","genus","Late Campanian"
"Youssoubatis","genus","Late Campanian"
"Rhinobatos","genus","Late Campanian"
"Rhombodus meridionalis","species","Late Campanian"
"Scapanorhynchus rapax","species","Late Campanian"
"Squalicorax","genus","Late Campanian"
"Squalicorax pristodontus","species","Late Campanian"
"Squalicorax","genus","Late Campanian"
"Cretolamna","genus","Late Campanian"
"Carcharias","genus","Late Campanian"
"Plicatoscyllium","genus","Late Campanian"
"Dalpiazia stromeri","species","Late Campanian"
"Parapalaeobates atlanticus","species","Late Campanian"
"Hypsobatis","genus","Late Campanian"
"Youssoubatis","genus","Late Campanian"
"Hamrabatis","genus","Late Campanian"
"Rhinobatos","genus","Late Campanian"
"Erguitaia","genus","Late Campanian"
"Coupatezia","genus","Late Campanian"
"Rhombodus meridionalis","species","Late Campanian"
"Myliobatiformes","order","Late Campanian"
"Scapanorhynchus rapax","species","Late Campanian"
"Squalicorax","genus","Late Campanian"
"Squalicorax pristodontus","species","Late Campanian"
"Squalicorax kaupi","species","Late Campanian"
"Squalicorax","genus","Late Campanian"
"Cretolamna","genus","Late Campanian"
"Carcharias","genus","Late Campanian"
"Plicatoscyllium","genus","Late Campanian"
"Squatigaleus","genus","Late Campanian"
"Dalpiazia stromeri","species","Late Campanian"
"Parapalaeobates atlanticus","species","Late Campanian"
"Hypsobatis","genus","Late Campanian"
"Youssoubatis","genus","Late Campanian"
"Hamrabatis","genus","Late Campanian"
"Rhinobatos","genus","Late Campanian"
"Erguitaia","genus","Late Campanian"
"Coupatezia","genus","Late Campanian"
"Rhombodus","genus","Late Campanian"
"Myliobatiformes","order","Late Campanian"
"Scapanorhynchus rapax","species","Late Campanian"
"Squalicorax pristodontus","species","Late Campanian"
"Squalicorax kaupi","species","Late Campanian"
"Squalicorax","genus","Late Campanian"
"Squalicorax","genus","Late Campanian"
"Cretolamna biauriculata","species","Late Campanian"
"Cretolamna","genus","Late Campanian"
"Carcharias","genus","Late Campanian"
"Chiloscyllium","genus","Late Campanian"
"Plicatoscyllium","genus","Late Campanian"
"Parapalaeobates atlanticus","species","Late Campanian"
"Hypsobatis","genus","Late Campanian"
"Youssoubatis","genus","Late Campanian"
"Rhinobatos","genus","Late Campanian"
"Erguitaia","genus","Late Campanian"
"Rhombodus meridionalis","species","Late Campanian"
"Myliobatiformes","order","Late Campanian"
"Squalicorax","genus","Late Campanian"
"Squalicorax pristodontus","species","Late Campanian"
"Squalicorax kaupi","species","Late Campanian"
"Squalicorax","genus","Late Campanian"
